dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,297.416736,228.914923,0.004390,0.439024,21.951220,1097.560976,3.142706
0.020000,297.415940,228.914922,0.005186,0.039812,-19.960623,-2095.592143,3.142624
0.020000,297.414149,228.914920,0.006978,0.089561,2.487433,1122.402821,3.142440
0.020000,297.410965,228.914918,0.010161,0.159163,3.480134,49.635025,3.142114
0.020000,297.405994,228.914917,0.015132,0.248550,4.469341,49.460371,3.141604
0.020000,297.243184,228.914975,0.177942,8.140505,394.597739,19506.419902,3.140870
0.020000,297.018337,228.915250,0.402790,11.242396,155.094551,-11975.159379,3.139873
0.020000,296.724677,228.915946,0.696450,14.682999,172.030168,846.780811,3.138572
0.020000,296.353047,228.917374,1.068083,18.581655,194.932764,1145.129832,3.136928
0.020000,295.894290,228.919979,1.526847,22.938208,217.827679,1144.745744,3.134903
0.020000,295.343853,228.924329,2.077302,27.522716,229.225388,569.885424,3.132480
0.020000,294.701780,228.931085,2.719410,32.105435,229.135977,-4.470545,3.129663
0.020000,293.968134,228.941015,3.453123,36.685652,229.010820,-6.257861,3.126455
0.020000,293.142985,228.954991,4.278391,41.263397,228.887239,-6.179046,3.122862
0.020000,292.226412,228.973983,5.195161,45.838470,228.753684,-6.677708,3.118891
0.020000,291.218524,228.999059,6.203360,50.409985,228.575722,-8.898135,3.114548
0.020000,290.119444,229.031383,7.302916,54.977792,228.390354,-9.268377,3.109840
0.020000,288.929314,229.072205,8.493745,59.541447,228.182745,-10.380457,3.104777
0.020000,287.648309,229.122861,9.775751,64.100318,227.943554,-11.959552,3.099368
0.020000,286.276629,229.184768,11.148828,68.653822,227.675208,-13.417304,3.093623
0.020000,284.814492,229.259414,12.612869,73.202078,227.412820,-13.119398,3.087555
0.020000,283.262167,229.348355,14.167740,77.743516,227.071899,-17.046032,3.081177
0.020000,281.619940,229.453206,15.813311,82.278562,226.752297,-15.980119,3.074501
0.020000,279.888147,229.575634,17.549426,86.805737,226.358727,-19.678523,3.067545
0.020000,278.067153,229.717350,19.375926,91.324993,225.962801,-19.796272,3.060323
0.020000,276.157364,229.880098,21.292637,95.835563,225.528506,-21.714778,3.052855
0.020000,274.159225,230.065648,23.299372,100.336779,225.060804,-23.385083,3.045160
0.020000,272.073223,230.275781,25.395932,104.827971,224.559581,-25.061167,3.037257
0.020000,269.899881,230.512284,27.582104,109.308624,224.032659,-26.346095,3.029168
0.020000,267.639765,230.776932,29.857662,113.777883,223.462970,-28.484433,3.020918
0.020000,265.293476,231.071480,32.222367,118.235271,222.869368,-29.680078,3.012530
0.020000,262.861650,231.397653,34.675970,122.680114,222.242185,-31.359179,3.004029
0.020000,260.344956,231.757124,37.218207,127.111868,221.587683,-32.725084,2.995444
0.020000,257.744093,232.151512,39.848802,131.529736,220.893410,-34.713666,2.986801
0.020000,255.059781,232.582360,42.567470,135.933436,220.185000,-35.420511,2.978132
0.020000,252.292762,233.051126,45.373916,140.322272,219.441798,-37.160103,2.969465
0.020000,249.443792,233.559170,48.267830,144.695715,218.672158,-38.481992,2.960832
0.020000,246.513631,234.107736,51.248898,149.053414,217.884938,-39.361001,2.952266
0.020000,243.503042,234.697944,54.316796,153.394865,217.072529,-40.620452,2.943800
0.020000,240.412779,235.330775,57.471190,157.719696,216.241564,-41.548256,2.935469
0.020000,237.243581,236.007056,60.711741,162.027553,215.392857,-42.435325,2.927306
0.020000,234.000546,236.726460,64.033610,166.093484,203.296562,-604.814731,2.919359
0.020000,230.693053,237.487330,67.427492,169.694079,180.029725,-1163.341866,2.911680
0.020000,227.330332,238.287579,70.884122,172.831479,156.869995,-1157.986491,2.904320
0.020000,223.921457,239.124717,74.394283,175.508055,133.828806,-1152.059454,2.897324
0.020000,220.475340,239.995876,77.948807,177.726215,110.908017,-1146.039466,2.890730
0.020000,217.000733,240.897844,81.538576,179.488434,88.110958,-1139.852958,2.884575
0.020000,213.506232,241.827101,85.154520,180.797227,65.439629,-1133.566417,2.878886
0.020000,210.000281,242.779866,88.787625,181.655233,42.900323,-1126.965323,2.873689
0.020000,206.491185,243.752134,92.428924,182.064963,20.486501,-1120.691074,2.869003
0.020000,202.987118,244.739722,96.069503,182.028964,-1.799970,-1114.323547,2.864841
0.020000,199.491882,245.739543,99.704929,181.771262,-12.885095,-554.256259,2.861207
0.020000,196.004972,246.749707,103.335214,181.514278,-12.849204,1.794533,2.858101
0.020000,192.525868,247.768341,106.960373,181.257949,-12.816457,1.637335,2.855520
0.020000,189.054041,248.793589,110.580417,181.002192,-12.787830,1.431388,2.853464
0.020000,185.588953,249.823609,114.195355,180.746910,-12.764122,1.185395,2.851932
0.020000,182.130061,250.856571,117.805195,180.491990,-12.745965,0.907814,2.850923
0.020000,178.676823,251.890660,121.409941,180.237314,-12.733828,0.606892,2.850436
0.020000,175.228694,252.924067,125.009596,179.982754,-12.728014,0.290700,2.850472
0.020000,171.785138,253.954991,128.604160,179.728180,-12.728670,-0.032810,2.851029
0.020000,168.345620,254.981639,132.193629,179.473464,-12.735785,-0.355751,2.852109
0.020000,164.909616,256.002219,135.777999,179.218481,-12.749190,-0.670242,2.853712
0.020000,161.476614,257.014946,139.357261,178.963110,-12.768557,-0.968348,2.855839
0.020000,158.046114,258.018031,142.931406,178.707242,-12.793397,-1.242016,2.858491
0.020000,154.617632,259.009688,146.500422,178.450780,-12.823057,-1.483019,2.861669
0.020000,151.190703,259.988129,150.064294,178.193646,-12.856716,-1.682912,2.865374
0.020000,147.765731,260.951327,153.622128,177.891692,-15.097684,-112.048402,2.869607
0.020000,144.347320,261.896124,157.168701,177.328617,-28.153760,-652.803807,2.874361
0.020000,140.943426,262.818585,160.695374,176.333682,-49.746753,-1079.649645,2.879623
0.020000,137.562040,263.714993,164.193563,174.909428,-71.212711,-1073.297939,2.885371
0.020000,134.211192,264.581894,167.654732,173.058480,-92.547388,-1066.733816,2.891581
0.020000,130.898969,265.416129,171.070398,170.783279,-113.760049,-1060.633088,2.898222
0.020000,127.633508,266.214872,174.432127,168.086449,-134.841512,-1054.073120,2.905259
0.020000,124.423011,266.975661,177.731536,164.970428,-155.801029,-1047.975864,2.912652
0.020000,121.275734,267.696423,180.960289,161.437650,-176.638914,-1041.894233,2.920353
0.020000,118.199998,268.375491,184.110096,157.490374,-197.363795,-1036.244083,2.928313
0.020000,115.203324,269.011799,187.173582,153.174280,-215.804695,-922.044985,2.936481
0.020000,112.289096,269.605516,190.147674,148.704617,-223.483151,-383.922769,2.944811
0.020000,109.457394,270.157700,193.032711,144.251855,-222.638124,42.251346,2.953269
0.020000,106.708324,270.669534,195.829024,139.815634,-221.811024,41.354977,2.961821
0.020000,104.042003,271.142314,198.536935,135.395569,-221.003291,40.386644,2.970435
0.020000,101.458567,271.577435,201.156759,130.991167,-220.220075,39.160806,2.979078
0.020000,98.958152,271.976380,203.688799,126.602044,-219.456176,38.194948,2.987719
0.020000,96.540901,272.340703,206.133352,122.227606,-218.721903,36.713670,2.996327
0.020000,94.206951,272.672018,208.490700,117.867425,-218.009017,35.644285,3.004873
0.020000,91.956439,272.971990,210.761115,113.520763,-217.333129,33.794376,3.013330
0.020000,89.789491,273.242316,212.944860,109.187259,-216.675193,32.896799,3.021671
0.020000,87.706225,273.484721,215.042182,104.866077,-216.059084,30.805460,3.029870
0.020000,85.706745,273.700941,217.053318,100.556804,-215.463676,29.770413,3.037904
0.020000,83.791151,273.892714,218.978488,96.258509,-214.914739,27.446854,3.045748
0.020000,81.959518,274.061773,220.817906,91.970911,-214.379894,26.742226,3.053382
0.020000,80.211917,274.209831,222.571768,87.693096,-213.890724,24.458532,3.060786
