dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,297.405886,238.664917,0.004390,0.439024,21.951220,1097.560976,3.142706
0.020000,297.405886,238.664917,0.021951,1.317073,43.902439,1097.560976,3.142624
0.020000,297.405886,238.664917,0.061463,2.634146,65.853659,1097.560976,3.142440
0.020000,297.405886,238.664917,0.131707,4.390244,87.804878,1097.560976,3.142114
0.020000,297.405886,238.664917,0.241463,6.585366,109.756098,1097.560976,3.141604
0.020000,297.250229,238.664973,0.399512,9.219512,131.707317,1097.560976,3.140870
0.020000,297.035106,238.665236,0.614634,12.292683,153.658537,1097.560976,3.139873
0.020000,296.754133,238.665902,0.895610,15.804878,175.609756,1097.560976,3.138572
0.020000,296.398528,238.667268,1.251220,19.756098,197.560976,1097.560976,3.136928
0.020000,295.959513,238.669761,1.690244,24.146341,219.512195,1097.560976,3.134903
0.020000,295.432699,238.673924,2.217073,28.536585,219.512195,-0.000000,3.132480
0.020000,294.818096,238.680391,2.831707,32.926829,219.512195,0.000000,3.129663
0.020000,294.115721,238.689898,3.534146,37.317073,219.512195,-0.000000,3.126455
0.020000,293.325593,238.703281,4.324390,41.707317,219.512195,0.000000,3.122862
0.020000,292.447732,238.721470,5.202439,46.097561,219.512195,-0.000000,3.118891
0.020000,291.482179,238.745494,6.168293,50.487805,219.512195,0.000000,3.114548
0.020000,290.428977,238.776468,7.221951,54.878049,219.512195,-0.000000,3.109840
0.020000,289.288186,238.815598,8.363415,59.268293,219.512195,0.000000,3.104777
0.020000,288.059879,238.864171,9.592683,63.658537,219.512195,-0.000000,3.099368
0.020000,286.744151,238.923553,10.909756,68.048780,219.512195,0.000000,3.093623
0.020000,285.341100,238.995182,12.314634,72.439024,219.512195,0.000000,3.087555
0.020000,283.850866,239.080566,13.807317,76.829268,219.512195,0.000000,3.081177
0.020000,282.273590,239.181270,15.387805,81.219512,219.512195,0.000000,3.074501
0.020000,280.609455,239.298916,17.056098,85.609756,219.512195,0.000000,3.067545
0.020000,278.858656,239.435170,18.812195,90.000000,219.512195,0.000000,3.060323
0.020000,277.021417,239.591736,20.656098,94.390244,219.512195,0.000000,3.052855
0.020000,275.097990,239.770349,22.587805,98.780488,219.512195,0.000000,3.045160
0.020000,273.088654,239.972760,24.607317,103.170732,219.512195,-0.000000,3.037257
0.020000,270.993710,240.200733,26.714634,107.560976,219.512195,0.000000,3.029168
0.020000,268.813490,240.456026,28.909756,111.951220,219.512195,-0.000000,3.020918
0.020000,266.548351,240.740389,31.192683,116.341463,219.512195,0.000000,3.012530
0.020000,264.198668,241.055545,33.563415,120.731707,219.512195,0.000000,3.004029
