dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,297.395036,248.414911,0.004390,0.439024,21.951220,1097.560976,3.142706
0.020000,297.395832,248.414911,0.005186,0.039812,-19.960623,-2095.592143,3.142624
0.020000,297.397623,248.414913,0.006978,0.089561,2.487433,1122.402821,3.142440
0.020000,297.400806,248.414915,0.010161,0.159163,3.480134,49.635025,3.142114
0.020000,297.405777,248.414917,0.015132,0.248550,4.469341,49.460371,3.141604
0.020000,297.257273,248.414970,0.163636,7.425214,358.833214,17718.193655,3.140870
0.020000,297.051876,248.415221,0.369033,10.269841,142.231315,-10830.094969,3.139873
0.020000,296.783588,248.415857,0.637322,13.414472,157.231549,750.011697,3.138572
0.020000,296.444010,248.417162,0.976903,16.979030,178.227906,1049.817843,3.136928
0.020000,296.024735,248.419543,1.396185,20.964073,199.252186,1051.214016,3.134903
0.020000,295.521545,248.423519,1.899390,25.160259,209.809262,527.853829,3.132480
0.020000,294.934412,248.429697,2.486556,29.358309,209.902511,4.662452,3.129663
0.020000,294.263309,248.438781,3.157721,33.558234,209.996257,4.687264,3.126455
0.020000,293.508202,248.451570,3.912936,37.760762,210.126393,6.506809,3.122862
0.020000,292.669053,248.468958,4.752265,41.966449,210.284334,7.897056,3.118891
0.020000,291.745833,248.491928,5.675770,46.175262,210.440669,7.816732,3.114548
0.020000,290.738511,248.521554,6.683528,50.387892,210.631506,9.541872,3.109840
0.020000,289.647057,248.558991,7.775624,54.604804,210.845608,10.705092,3.104777
0.020000,288.471449,248.605480,8.952151,58.826340,211.076792,11.559192,3.099368
0.020000,287.211672,248.662337,10.213209,63.052933,211.329660,12.643435,3.093623
0.020000,285.867709,248.730951,11.558924,67.285710,211.638846,15.459266,3.087555
0.020000,284.439565,248.812777,12.989409,71.524290,211.928986,14.507021,3.081177
0.020000,282.927241,248.909335,14.504813,75.770170,212.293994,18.250388,3.074501
0.020000,281.330763,249.022198,16.105275,80.023133,212.648152,17.707886,3.067545
0.020000,279.650158,249.152990,17.790962,84.284314,213.059062,20.545524,3.060323
0.020000,277.885470,249.303374,19.562046,88.554213,213.494968,21.795285,3.052855
0.020000,276.036755,249.475050,21.418715,92.833443,213.961475,23.325339,3.045160
0.020000,274.104084,249.669739,23.361167,97.122625,214.459123,24.882398,3.037257
0.020000,272.087538,249.889181,25.389618,101.422533,214.995395,26.813630,3.029168
0.020000,269.987216,250.135120,27.504290,105.733618,215.554239,27.942194,3.020918
0.020000,267.803225,250.409297,29.705424,110.056667,216.152440,29.910026,3.012530
0.020000,265.535686,250.713437,31.993269,114.392264,216.779855,31.370746,3.004029
0.020000,263.184726,251.049239,34.368091,118.741077,217.440673,33.040902,2.995444
0.020000,260.750484,251.418365,36.830161,123.103501,218.121158,34.024249,2.986801
0.020000,258.233097,251.822424,39.379768,127.480356,218.842771,36.080659,2.978132
0.020000,255.632710,252.262965,42.017208,131.872023,219.583352,37.029058,2.969465
0.020000,252.949461,252.741461,44.742788,136.278974,220.347550,38.209881,2.960832
0.020000,250.183481,253.259294,47.556823,140.701781,221.140365,39.640796,2.952266
0.020000,247.334890,253.817749,50.459639,145.140805,221.951193,40.541368,2.943800
0.020000,244.403790,254.417992,53.451569,149.596462,222.782825,41.581620,2.935469
0.020000,241.390257,255.061061,56.532951,154.069116,223.632696,42.493534,2.927306
0.020000,238.298522,255.746907,59.699844,158.344669,213.777661,-492.751764,2.919359
0.020000,235.136949,256.474214,62.943995,162.207550,193.144045,-1031.680755,2.911680
0.020000,231.913850,257.241243,66.257106,165.655533,172.399168,-1037.243870,2.904320
0.020000,228.637473,258.045848,69.630833,168.686348,151.540757,-1042.920538,2.897324
0.020000,225.316009,258.885501,73.056784,171.297558,130.560484,-1049.013661,2.890730
0.020000,221.957588,259.757313,76.526517,173.486645,109.454354,-1055.306503,2.884575
0.020000,218.570287,260.658069,80.031538,175.251041,88.219809,-1061.727248,2.878886
0.020000,215.162130,261.584263,83.563303,176.588259,66.860904,-1067.945258,2.873689
0.020000,211.741103,262.532133,87.113217,177.495687,45.371371,-1074.476652,2.869003
0.020000,208.315157,263.497707,90.672632,177.970783,23.754836,-1080.826738,2.864841
0.020000,204.888044,264.478045,94.237203,178.228549,12.888267,-543.328435,2.861207
0.020000,201.459316,265.471356,97.806915,178.485588,12.851951,-1.815826,2.858101
0.020000,198.028505,266.475853,101.381754,178.741963,12.818781,-1.658472,2.855520
0.020000,194.595126,267.489748,104.961710,178.997758,12.789731,-1.452503,2.853464
0.020000,191.158676,268.511256,108.546771,179.253070,12.765600,-1.206587,2.851932
0.020000,187.718641,269.538589,112.136931,179.508010,12.747017,-0.929140,2.850923
0.020000,184.274496,270.569955,115.732185,179.762699,12.734450,-0.628357,2.850436
0.020000,180.825707,271.603560,119.332530,180.017263,12.728204,-0.312272,2.850472
0.020000,177.371734,272.637602,122.937967,180.271832,12.728428,0.011191,2.851029
0.020000,173.912034,273.670273,126.548498,180.526534,12.735111,0.334155,2.852109
0.020000,170.446064,274.699753,130.164128,180.781496,12.748086,0.648729,2.853712
0.020000,166.973281,275.724212,133.784864,181.036836,12.767025,0.946950,2.855839
0.020000,163.493150,276.741807,137.410718,181.292665,12.791439,1.220725,2.858491
