dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.640527,35.995577,0.003963,0.396341,19.817073,990.853659,6.283108
0.020000,10.640400,35.995577,0.004091,0.006356,-19.499275,-1965.817402,6.283121
0.020000,10.640113,35.995577,0.004378,0.014359,0.400154,994.971445,6.283151
0.020000,10.661502,35.995577,0.025767,1.069470,52.755540,2617.769305,0.000018
0.020000,10.759774,35.995583,0.124038,4.913562,192.204632,6972.454583,0.000102
0.020000,10.901262,35.995606,0.265527,7.074437,108.043730,-4208.045081,0.000224
0.020000,11.093803,35.995665,0.458068,9.627020,127.629164,979.271699,0.000395
0.020000,11.345212,35.995793,0.709477,12.570467,147.172326,977.158090,0.000626
0.020000,11.659359,35.996037,1.023624,15.707342,156.843758,483.571610,0.000926
0.020000,12.036166,35.996456,1.400431,18.840384,156.652075,-9.584136,0.001304
0.020000,12.475542,35.997130,1.839808,21.968807,156.421186,-11.544486,0.001768
0.020000,12.977378,35.998157,2.341645,25.091874,156.153322,-13.393172,0.002330
0.020000,13.541551,35.999659,2.905820,28.208741,155.843347,-15.498769,0.003002
0.020000,14.167921,36.001786,3.532193,31.318662,155.496056,-17.364534,0.003800
0.020000,14.856331,36.004721,4.220609,34.420807,155.107249,-19.440385,0.004737
0.020000,15.606608,36.008682,4.970897,37.514413,154.680326,-21.346109,0.005834
0.020000,16.418564,36.013929,5.782869,40.598600,154.209359,-23.548370,0.007107
0.020000,17.291988,36.020772,6.656320,43.672548,153.697400,-25.597964,0.008579
0.020000,18.226654,36.029574,7.591028,46.735401,153.142613,-27.739326,0.010273
0.020000,19.222317,36.040756,8.586754,49.786274,152.543685,-29.946407,0.012212
0.020000,20.278709,36.054812,9.643239,52.824266,151.899598,-32.204370,0.014424
0.020000,21.395541,36.072309,10.760209,55.848477,151.210530,-34.453369,0.016936
0.020000,22.572500,36.093897,11.937366,58.857856,150.468930,-37.080020,0.019779
