dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.639777,26.245577,0.003963,0.396341,19.817073,990.853659,6.283108
0.020000,10.639777,26.245577,0.019817,1.189024,39.634146,990.853659,6.283121
0.020000,10.639777,26.245577,0.055488,2.378049,59.451220,990.853659,6.283151
0.020000,10.661681,26.245577,0.118902,3.963415,79.268293,990.853659,0.000018
0.020000,10.760766,26.245583,0.217988,5.945122,99.085366,990.853659,0.000102
0.020000,10.903449,26.245606,0.360671,8.323171,118.902439,990.853659,0.000224
0.020000,11.097656,26.245666,0.554878,11.097561,138.719512,990.853659,0.000395
0.020000,11.351315,26.245795,0.808537,14.268293,158.536585,990.853659,0.000626
0.020000,11.668388,26.246041,1.125610,17.439024,158.536585,0.000000,0.000926
0.020000,12.048876,26.246465,1.506098,20.609756,158.536585,-0.000000,0.001304
0.020000,12.492777,26.247145,1.950000,23.780488,158.536585,0.000000,0.001768
0.020000,13.000094,26.248183,2.457317,26.951220,158.536585,-0.000000,0.002330
0.020000,13.570823,26.249703,3.028049,30.121951,158.536585,0.000000,0.003002
0.020000,14.204966,26.251857,3.662195,33.292683,158.536585,-0.000000,0.003800
0.020000,14.902520,26.254831,4.359756,36.463415,158.536585,0.000000,0.004737
0.020000,15.663486,26.258848,5.120732,39.634146,158.536585,-0.000000,0.005834
0.020000,16.487859,26.264176,5.945122,42.804878,158.536585,0.000000,0.007107
0.020000,17.375636,26.271131,6.832927,45.975610,158.536585,0.000000,0.008579
0.020000,18.326814,26.280088,7.784146,49.146341,158.536585,0.000000,0.010273
0.020000,19.341383,26.291483,8.798780,52.317073,158.536585,0.000000,0.012212
0.020000,20.419336,26.305826,9.876829,55.487805,158.536585,-0.000000,0.014424
0.020000,21.560660,26.323707,11.018293,58.658537,158.536585,0.000000,0.016936
0.020000,22.765335,26.345805,12.223171,61.829268,158.536585,-0.000000,0.019779
0.020000,24.033338,26.372898,13.491463,65.000000,158.536585,0.000000,0.022986
0.020000,25.364636,26.405878,14.823171,68.170732,158.536585,0.000000,0.026590
0.020000,26.759187,26.445755,16.218293,71.341463,158.536585,0.000000,0.030629
0.020000,28.216935,26.493675,17.676829,74.512195,158.536585,-0.000000,0.035142
0.020000,29.737807,26.550930,19.198780,77.682927,158.536585,0.000000,0.040170
0.020000,31.321710,26.618975,20.784146,80.853659,158.536585,0.000000,0.045758
0.020000,32.968524,26.699439,22.432927,84.024390,158.536585,-0.000000,0.051951
0.020000,34.678094,26.794144,24.145122,87.195122,158.536585,0.000000,0.058800
0.020000,36.450228,26.905118,25.920732,90.365854,158.536585,-0.000000,0.066357
0.020000,38.284682,27.034616,27.759756,93.536585,158.536585,0.000000,0.074677
0.020000,40.181150,27.185135,29.662195,96.707317,158.536585,0.000000,0.083818
0.020000,42.139254,27.359434,31.628049,99.878049,158.536585,0.000000,0.093841
0.020000,44.158521,27.560551,33.657317,103.048780,158.536585,0.000000,0.104808
0.020000,46.238373,27.791821,35.750000,106.219512,158.536585,0.000000,0.116787
0.020000,48.378098,28.056895,37.906098,109.390244,158.536585,0.000000,0.129844
0.020000,50.576832,28.359757,40.125610,112.560976,158.536585,0.000000,0.144050
0.020000,52.833520,28.704733,42.408537,115.731707,158.536585,0.000000,0.159475
0.020000,55.146895,29.096506,44.754878,118.902439,158.536585,0.000000,0.176189
0.020000,57.511544,29.539354,47.160671,121.676829,138.719512,-990.853659,0.194231
0.020000,59.917951,30.036772,49.617988,124.054878,118.902439,-990.853659,0.213596
0.020000,62.356424,30.591930,52.118902,126.036585,99.085366,-990.853659,0.234265
0.020000,64.817118,31.207553,54.655488,127.621951,79.268293,-990.853659,0.256196
0.020000,67.290066,31.885796,57.219817,128.810976,59.451220,-990.853659,0.279327
0.020000,69.765230,32.628122,59.803963,129.603659,39.634146,-990.853659,0.303573
0.020000,72.232558,33.435177,62.400000,130.000000,19.817073,-990.853659,0.328825
0.020000,74.682067,34.306682,65.000000,130.000000,0.000000,-990.853659,0.354951
0.020000,77.107606,35.242817,67.600000,130.000000,0.000000,0.000000,0.381840
0.020000,79.506750,36.244654,70.200000,130.000000,0.000000,0.000000,0.409406
0.020000,81.877046,37.312948,72.800000,130.000000,0.000000,0.000000,0.437556
0.020000,84.216047,38.448116,75.400000,130.000000,0.000000,0.000000,0.466188
0.020000,86.521355,39.650230,78.000000,130.000000,0.000000,0.000000,0.495193
0.020000,88.790655,40.919010,80.600000,130.000000,0.000000,0.000000,0.524457
0.020000,91.021745,42.253825,83.200000,130.000000,0.000000,0.000000,0.553864
0.020000,93.212595,43.653716,85.800000,130.000000,0.000000,0.000000,0.583298
0.020000,95.361346,45.117405,88.400000,130.000000,0.000000,0.000000,0.612646
0.020000,97.466356,46.643326,91.000000,130.000000,0.000000,0.000000,0.641797
0.020000,99.526223,48.229666,93.600000,130.000000,0.000000,0.000000,0.670650
0.020000,101.508050,49.847725,96.200000,130.000000,0.000000,0.000000,0.695818
0.020000,103.362538,51.547545,98.800000,130.000000,0.000000,0.000000,0.785524
0.020000,105.114824,53.467116,101.400000,130.000000,0.000000,0.000000,0.876275
0.020000,106.687241,55.536661,104.000000,130.000000,0.000000,0.000000,0.965340
0.020000,108.073602,57.735278,106.600000,130.000000,0.000000,0.000000,1.050190
0.020000,109.275499,60.040041,109.200000,130.000000,0.000000,0.000000,1.128879
0.020000,110.301179,62.428572,111.800000,130.000000,0.000000,0.000000,1.200212
0.020000,111.163636,64.880893,114.400000,130.000000,0.000000,0.000000,1.263705
0.020000,111.878572,67.380314,117.000000,130.000000,0.000000,0.000000,1.319414
0.020000,112.462717,69.913583,119.600000,130.000000,0.000000,0.000000,1.367737
0.020000,112.932667,72.470570,122.200000,130.000000,0.000000,0.000000,1.409248
0.020000,113.304202,75.043751,124.800000,130.000000,0.000000,0.000000,1.444573
0.020000,113.591964,77.627684,127.400000,130.000000,0.000000,0.000000,1.474320
0.020000,113.809372,80.218511,130.000000,130.000000,0.000000,0.000000,1.499039
0.020000,113.968684,82.813587,132.600000,130.000000,0.000000,0.000000,1.519203
0.020000,114.081124,85.411126,135.200000,130.000000,0.000000,0.000000,1.535204
0.020000,114.157052,88.010006,137.800000,130.000000,0.000000,0.000000,1.547354
0.020000,114.206137,90.609538,140.400000,130.000000,0.000000,0.000000,1.555892
0.020000,114.237535,93.209346,143.000000,130.000000,0.000000,0.000000,1.560983
0.020000,114.260066,95.809250,145.600000,130.000000,0.000000,0.000000,1.562725
0.020000,114.282377,98.409156,148.200000,130.000000,0.000000,0.000000,1.561152
0.020000,114.313111,101.008975,150.800000,130.000000,0.000000,0.000000,1.556234
0.020000,114.361075,103.608528,153.400000,130.000000,0.000000,0.000000,1.547876
0.020000,114.435403,106.207451,156.000000,130.000000,0.000000,0.000000,1.535915
0.020000,114.545735,108.805082,158.600000,130.000000,0.000000,0.000000,1.520118
0.020000,114.702391,111.400319,161.200000,130.000000,0.000000,0.000000,1.500175
0.020000,114.916546,113.991423,163.800000,130.000000,0.000000,0.000000,1.475700
0.020000,115.200400,116.575788,166.400000,130.000000,0.000000,0.000000,1.446222
0.020000,115.567313,119.149625,169.000000,130.000000,0.000000,0.000000,1.411196
0.020000,116.031172,121.704196,171.596516,129.651609,-17.419552,-870.977578,1.370075
0.020000,116.605381,124.224962,174.182101,128.906876,-37.236625,-990.853659,1.322410
0.020000,117.302343,126.694920,176.748828,127.765803,-57.053698,-990.853659,1.267898
0.020000,118.132388,129.094980,179.288770,126.228387,-76.870771,-990.853659,1.206506
0.020000,119.102332,131.404298,181.794000,124.294630,-96.687844,-990.853659,1.138606
0.020000,120.213862,133.601136,184.256591,121.964532,-116.504917,-990.853659,1.065107
0.020000,121.462084,135.664353,186.668618,119.238092,-136.321991,-990.853659,0.987504
0.020000,122.834726,137.575374,189.022152,116.115311,-156.139064,-990.853659,0.907798
0.020000,124.314757,139.322816,191.312751,112.944579,-158.536585,-119.876080,0.828142
0.020000,125.883116,140.903349,193.539935,109.773847,-158.536585,0.000000,0.750503
0.020000,127.518941,142.318888,195.703704,106.603116,-158.536585,0.000000,0.676517
0.020000,129.201208,143.575781,197.804059,103.432384,-158.536585,-0.000000,0.607347
0.020000,130.910055,144.683672,199.841000,100.261652,-158.536585,0.000000,0.543664
0.020000,132.628003,145.654473,201.814526,97.090921,-158.536585,-0.000000,0.485693
0.020000,134.340005,146.500989,203.724637,93.920189,-158.536585,0.000000,0.433345
0.020000,136.033846,147.236251,205.571333,90.749457,-158.536585,0.000000,0.386312
0.020000,137.699563,147.872720,207.354615,87.578725,-158.536585,-0.000000,0.344177
0.020000,139.329237,148.422002,209.074482,84.407994,-158.536585,0.000000,0.306477
0.020000,140.916683,148.894694,210.730935,81.237262,-158.536585,0.000000,0.272748
0.020000,142.457205,149.300339,212.323973,78.066530,-158.536585,0.000000,0.242550
0.020000,143.946887,149.647355,213.853596,74.895799,-158.536585,0.000000,0.215483
0.020000,145.382838,149.943234,215.319805,71.725067,-158.536585,-0.000000,0.191191
0.020000,146.762928,150.194599,216.722599,68.554335,-158.536585,-0.000000,0.169354
0.020000,148.085259,150.407229,218.061978,65.383603,-158.536585,0.000000,0.149701
0.020000,149.348615,150.586251,219.337943,62.212872,-158.536585,0.000000,0.131990
0.020000,150.551813,150.736139,220.550493,59.042140,-158.536585,-0.000000,0.116016
0.020000,151.694160,150.860862,221.699628,55.871408,-158.536585,0.000000,0.101598
0.020000,152.774974,150.963896,222.785349,52.700677,-158.536585,-0.000000,0.088583
0.020000,153.793784,151.048313,223.807655,49.529945,-158.536585,-0.000000,0.076836
0.020000,154.750204,151.116819,224.766547,46.359213,-158.536585,0.000000,0.066242
0.020000,155.643988,151.171805,225.662024,43.188482,-158.536585,-0.000000,0.056700
0.020000,156.474898,151.215377,226.494086,40.017750,-158.536585,0.000000,0.048126
0.020000,157.242839,151.249392,227.262734,36.847018,-158.536585,0.000000,0.040442
0.020000,157.947543,151.275478,227.967967,33.676286,-158.536585,0.000000,0.033587
0.020000,158.589071,151.295071,228.609785,30.505555,-158.536585,0.000000,0.027502
0.020000,159.167329,151.309422,229.188189,27.334823,-158.536585,-0.000000,0.022141
0.020000,159.682201,151.319615,229.703178,24.164091,-158.536585,0.000000,0.017462
0.020000,160.133720,151.326587,230.154753,20.993360,-158.536585,-0.000000,0.013432
0.020000,160.521872,151.331137,230.542913,17.822628,-158.536585,0.000000,0.010019
0.020000,160.846560,151.333932,230.867658,14.651896,-158.536585,0.000000,0.007200
0.020000,161.107873,151.335520,231.128989,11.481164,-158.536585,0.000000,0.004956
0.020000,161.309281,151.336345,231.330388,8.658824,-141.117034,870.977578,0.003240
0.020000,161.458273,151.336733,231.479305,6.232825,-121.299961,990.853659,0.001978
0.020000,161.562547,151.336894,231.583665,4.203167,-101.482887,990.853659,0.001099
0.020000,161.630295,151.336949,231.651395,2.569851,-81.665814,990.853659,0.000530
0.020000,161.669362,151.336963,231.690422,1.332876,-61.848741,990.853659,0.000202
0.020000,161.687639,151.336966,231.708673,0.492242,-42.031668,990.853659,0.000049
0.020000,161.693049,151.336966,231.714075,0.047950,-22.214595,990.853659,0.000004
0.020000,161.693530,151.336966,231.714555,0.000000,-2.397522,990.853659,0.000000
0.020000,161.693530,151.336966,231.714555,0.000000,0.000000,119.876080,0.000000
