dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.639030,16.495577,0.004390,0.439024,21.951220,1097.560976,6.283109
0.020000,10.639171,16.495577,0.004531,0.007042,-21.599126,-2177.517259,6.283123
0.020000,10.639489,16.495577,0.004849,0.015916,0.443683,1102.140439,6.283156
0.020000,10.674768,16.495577,0.040129,1.763981,87.403267,4347.979177,0.000029
0.020000,10.785429,16.495585,0.150789,5.533023,188.452098,5052.441574,0.000122
0.020000,10.944807,16.495616,0.310167,7.968885,121.793090,-3332.950431,0.000258
0.020000,11.161789,16.495692,0.527149,10.849099,144.010699,1110.880458,0.000449
0.020000,11.445282,16.495856,0.810642,14.174660,166.278090,1113.369551,0.000707
0.020000,11.804221,16.496170,1.169582,17.946985,188.616243,1116.907663,0.001049
0.020000,12.247578,16.496733,1.612939,22.167868,211.044128,1121.394267,0.001493
0.020000,12.779929,16.497677,2.145291,26.617600,222.486614,572.124297,0.002059
0.020000,13.401452,16.499174,2.766816,31.076219,222.930921,22.215354,0.002766
0.020000,14.112352,16.501445,3.477720,35.545193,223.448712,25.889524,0.003634
0.020000,14.912866,16.504771,4.278240,40.026043,224.042529,29.690857,0.004688
0.020000,15.803260,16.509502,5.168647,44.520333,224.714479,33.597514,0.005956
0.020000,16.783831,16.516074,6.149240,49.029633,225.464986,37.525360,0.007467
0.020000,17.854905,16.525018,7.220351,53.555547,226.295725,41.536906,0.009257
0.020000,19.016837,16.536982,8.382345,58.099722,227.208734,45.650475,0.011363
0.020000,20.270015,16.552745,9.635622,62.663851,228.206474,49.887017,0.013826
0.020000,21.614855,16.573240,10.980618,67.249774,229.296144,54.483476,0.016690
0.020000,23.051797,16.599574,12.417801,71.859188,230.470703,58.727942,0.020003
0.020000,24.581313,16.633055,13.947684,76.494118,231.746469,63.788338,0.023818
0.020000,26.203895,16.675214,15.570814,81.156488,233.118540,68.603532,0.028192
0.020000,27.920059,16.727843,17.287784,85.848510,234.601071,74.126546,0.033185
0.020000,29.730331,16.793020,19.099229,90.572245,236.186754,79.284166,0.038862
0.020000,31.635248,16.873147,21.005831,95.330101,237.892819,85.303213,0.045293
0.020000,33.635347,16.970989,23.008321,100.124515,239.720684,91.393253,0.052553
0.020000,35.731147,17.089717,25.107481,104.958016,241.675043,97.717969,0.060723
0.020000,37.923135,17.232953,27.304144,109.833151,243.756770,104.086367,0.069887
0.020000,40.211743,17.404817,29.599197,114.752615,245.973206,110.821777,0.080137
0.020000,42.597318,17.609981,31.993578,119.719050,248.321749,117.427163,0.091570
0.020000,45.080083,17.853722,34.488278,124.735006,250.797773,123.801178,0.104286
0.020000,47.660086,18.141979,37.084334,129.802820,253.390712,129.646961,0.118393
0.020000,50.337144,18.481403,39.782824,134.924488,256.083404,134.634582,0.134001
0.020000,53.110758,18.879414,42.584850,140.101316,258.841416,137.900634,0.151223
0.020000,55.980027,19.344241,45.491526,145.333809,261.624606,139.159477,0.170174
0.020000,58.943526,19.884955,48.503951,150.621210,264.370048,137.272103,0.190966
0.020000,61.999178,20.511480,51.623172,155.961078,266.993402,131.167694,0.213707
0.020000,65.144096,21.234573,54.850148,161.348778,269.385025,119.581173,0.238496
0.020000,68.374410,22.065771,58.185686,166.776918,271.407009,101.099202,0.265416
0.020000,71.685081,23.017283,61.630381,172.234744,272.891284,74.213722,0.294528
0.020000,75.065166,24.100275,65.179725,177.467212,261.623421,-563.393134,0.325820
0.020000,78.497832,25.323837,68.823939,182.210706,237.174663,-1222.437894,0.359190
0.020000,81.965069,26.695627,72.552684,186.437257,211.327582,-1292.354067,0.394479
0.020000,85.447875,28.221370,76.355030,190.117265,184.000399,-1366.359132,0.431464
0.020000,88.926591,29.904392,80.219488,193.222886,155.281047,-1435.967598,0.469870
0.020000,92.381334,31.745242,84.134073,195.729262,125.318804,-1498.112158,0.509366
0.020000,95.792529,33.741433,88.086417,197.617196,94.396667,-1546.106846,0.549583
0.020000,99.141499,35.887369,92.063934,198.875886,62.934537,-1573.106518,0.590132
0.020000,102.411015,38.174446,96.053978,199.502197,31.315537,-1580.949990,0.630615
