dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.648855,303.879962,0.003963,0.396341,19.817073,990.853659,6.282254
0.020000,10.647720,303.879963,0.005099,0.056759,-16.979105,-1839.808893,6.282371
0.020000,10.645169,303.879965,0.007650,0.127555,3.539763,1025.943405,6.282632
0.020000,10.640644,303.879966,0.012174,0.226238,4.934159,69.719768,6.283096
0.020000,10.720503,303.879992,0.092034,3.992959,188.336075,9170.095815,0.000633
0.020000,10.853108,303.880145,0.224638,6.630233,131.863684,-2823.619560,0.001667
0.020000,11.033712,303.880572,0.405243,9.030241,120.000416,-593.163378,0.003062
0.020000,11.269804,303.881508,0.641337,11.804672,138.721529,936.055625,0.004864
0.020000,11.565229,303.883274,0.936767,14.771518,148.342302,481.038673,0.007083
0.020000,11.920198,303.886254,1.291749,17.749083,148.878272,26.798496,0.009699
0.020000,12.334951,303.890899,1.706528,20.738956,149.493611,30.766959,0.012687
0.020000,12.809753,303.897718,2.181379,23.742543,150.179373,34.288091,0.016016
0.020000,13.344918,303.907269,2.716629,26.762518,150.998750,40.968823,0.019656
0.020000,13.940760,303.920156,3.312610,29.799055,151.826834,41.404243,0.023570
0.020000,14.597648,303.937015,3.969714,32.855217,152.808133,49.064921,0.027720
0.020000,15.315946,303.958505,4.688333,35.930953,153.786785,48.932598,0.032063
0.020000,16.096059,303.985296,5.468907,39.028665,154.885597,54.940608,0.036558
0.020000,16.938386,304.018061,6.311871,42.148210,155.977251,54.582718,0.041156
0.020000,17.843367,304.057460,7.217709,45.291892,157.184120,60.343423,0.045811
0.020000,18.811436,304.104127,8.186902,48.459662,158.388475,60.217757,0.050471
0.020000,19.843050,304.158655,9.219956,51.652708,159.652311,63.191781,0.055086
0.020000,20.938680,304.221588,10.317392,54.871784,160.953805,65.074701,0.059602
0.020000,22.098808,304.293397,11.479741,58.117437,162.282643,66.441897,0.063964
0.020000,23.323943,304.374470,12.707555,61.390719,163.664090,69.072392,0.068116
0.020000,24.614605,304.465092,14.001394,64.691959,165.062015,69.896230,0.071999
0.020000,25.971344,304.565432,15.361839,68.022252,166.514629,72.630722,0.075556
0.020000,27.394745,304.675519,16.789490,71.382559,168.015376,75.037329,0.078724
0.020000,28.885422,304.795226,18.284966,74.773773,169.560704,77.266406,0.081439
0.020000,30.444034,304.924248,19.848910,78.197197,171.171186,80.524086,0.083636
0.020000,32.071299,305.062078,21.482001,81.654573,172.868811,84.881242,0.085245
0.020000,33.767989,305.207980,23.184952,85.147556,174.649135,89.016204,0.086194
0.020000,35.534949,305.360962,24.958523,88.678507,176.547523,94.919386,0.086403
0.020000,37.373107,305.519743,26.803526,92.250188,178.584083,101.828015,0.085790
0.020000,39.283488,305.682713,28.720845,95.865946,180.787870,110.189340,0.084264
0.020000,41.267217,305.847893,30.711439,99.529713,183.188380,120.025509,0.081726
0.020000,43.325548,306.012879,32.776373,103.246665,185.847581,132.960043,0.078068
0.020000,45.459863,306.174784,34.916819,107.022319,188.782717,146.756841,0.073169
0.020000,47.671684,306.330163,37.134091,110.863604,192.064242,164.076243,0.066895
0.020000,49.962697,306.474930,39.429674,114.779128,195.776208,185.598271,0.059092
0.020000,52.334740,306.604248,41.805239,118.778257,199.956427,209.010966,0.049590
0.020000,54.789811,306.712404,44.262691,122.872606,204.717467,238.052006,0.038192
0.020000,57.325873,306.792557,46.800019,126.866415,199.690456,-251.350553,0.024700
0.020000,59.936628,306.836875,49.411151,130.556573,184.507911,-759.127280,0.008921
0.020000,62.615548,306.836792,52.090071,133.945988,169.470731,-751.858985,6.273846
0.020000,65.355747,306.783032,54.830798,137.036351,154.518138,-747.629661,6.252903
0.020000,68.149797,306.665664,57.627311,139.825667,139.465793,-752.617208,6.229083
0.020000,70.989549,306.474205,60.473510,142.309950,124.214168,-762.581260,6.202197
0.020000,73.865856,306.197791,63.363069,144.477939,108.399448,-790.736026,6.172080
0.020000,76.768321,305.825441,66.289320,146.312575,91.731810,-833.381898,6.138605
0.020000,79.689416,305.345635,69.249558,148.011872,84.964842,-338.348394,6.101640
0.020000,82.624300,304.745893,72.245093,149.776777,88.245240,164.019896,6.061051
0.020000,85.566038,304.013477,75.276637,151.577189,90.020625,88.769278,6.016765
0.020000,88.505176,303.135934,78.343984,153.367340,89.507523,-25.655105,5.968801
0.020000,91.429506,302.101836,81.445767,155.089170,86.091493,-170.801535,5.917301
0.020000,94.323953,300.901738,84.579146,156.668930,78.988023,-355.173473,5.862555
0.020000,97.170907,299.529220,87.739676,158.026525,67.879745,-555.413917,5.805020
0.020000,99.950920,297.981873,90.921304,159.081393,52.743423,-756.816082,5.745317
0.020000,102.643897,296.261997,94.116629,159.766235,34.242091,-925.066601,5.684207
0.020000,105.230536,294.376820,97.317346,160.035861,13.481312,-1038.038943,5.622542
