dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.639777,294.129967,0.003963,0.396341,19.817073,990.853659,6.282254
0.020000,10.639777,294.129967,0.019817,1.189024,39.634146,990.853659,6.282371
0.020000,10.639777,294.129967,0.055488,2.378049,59.451220,990.853659,6.282632
0.020000,10.639777,294.129967,0.118902,3.963415,79.268293,990.853659,6.283096
0.020000,10.726678,294.129994,0.217988,5.945122,99.085366,990.853659,0.000633
0.020000,10.869362,294.130158,0.360671,8.323171,118.902439,990.853659,0.001667
0.020000,11.063569,294.130618,0.554878,11.097561,138.719512,990.853659,0.003062
0.020000,11.317226,294.131623,0.808537,14.268293,158.536585,990.853659,0.004864
0.020000,11.634291,294.133518,1.125610,17.439024,158.536585,0.000000,0.007083
0.020000,12.014765,294.136713,1.506098,20.609756,158.536585,-0.000000,0.009699
0.020000,12.458643,294.141684,1.950000,23.780488,158.536585,0.000000,0.012687
0.020000,12.965905,294.148968,2.457317,26.951220,158.536585,-0.000000,0.016016
0.020000,13.536552,294.159153,3.028049,30.121951,158.536585,0.000000,0.019656
0.020000,14.170545,294.172864,3.662195,33.292683,158.536585,-0.000000,0.023570
0.020000,14.867879,294.190761,4.359756,36.463415,158.536585,0.000000,0.027720
0.020000,15.628511,294.213516,5.120732,39.634146,158.536585,-0.000000,0.032063
0.020000,16.452418,294.241811,5.945122,42.804878,158.536585,0.000000,0.036558
0.020000,17.339547,294.276318,6.832927,45.975610,158.536585,0.000000,0.041156
0.020000,18.289867,294.317689,7.784146,49.146341,158.536585,0.000000,0.045811
0.020000,19.303324,294.366542,8.798780,52.317073,158.536585,0.000000,0.050471
0.020000,20.379869,294.423445,9.876829,55.487805,158.536585,-0.000000,0.055086
0.020000,21.519454,294.488901,11.018293,58.658537,158.536585,0.000000,0.059602
0.020000,22.722030,294.563336,12.223171,61.829268,158.536585,-0.000000,0.063964
0.020000,23.987556,294.647079,13.491463,65.000000,158.536585,0.000000,0.068116
0.020000,25.315993,294.740353,14.823171,68.170732,158.536585,0.000000,0.071999
0.020000,26.707314,294.843248,16.218293,71.341463,158.536585,0.000000,0.075556
0.020000,28.161508,294.955716,17.676829,74.512195,158.536585,-0.000000,0.078724
0.020000,29.678576,295.077541,19.198780,77.682927,158.536585,0.000000,0.081439
0.020000,31.258537,295.208329,20.784146,80.853659,158.536585,0.000000,0.083636
0.020000,32.901436,295.347482,22.432927,84.024390,158.536585,-0.000000,0.085245
0.020000,34.607336,295.494175,24.145122,87.195122,158.536585,0.000000,0.086194
0.020000,36.376329,295.647333,25.920732,90.365854,158.536585,-0.000000,0.086403
0.020000,38.208531,295.805600,27.759756,93.536585,158.536585,0.000000,0.085790
0.020000,40.104086,295.967307,29.662195,96.707317,158.536585,0.000000,0.084264
0.020000,42.063159,296.130436,31.628049,99.878049,158.536585,0.000000,0.081726
0.020000,44.085939,296.292575,33.657317,103.048780,158.536585,0.000000,0.078068
0.020000,46.172626,296.450872,35.750000,106.219512,158.536585,0.000000,0.073169
0.020000,48.323419,296.601970,37.906098,109.390244,158.536585,0.000000,0.066895
0.020000,50.538510,296.741948,40.125610,112.560976,158.536585,0.000000,0.059092
0.020000,52.818044,296.866234,42.408537,115.731707,158.536585,0.000000,0.049590
0.020000,55.162096,296.969515,44.754878,118.902439,158.536585,0.000000,0.038192
0.020000,57.566671,297.045531,47.160671,121.676829,138.719512,-990.853659,0.024700
0.020000,60.023609,297.087263,49.617988,124.054878,118.902439,-990.853659,0.008921
0.020000,62.524488,297.087217,52.118902,126.036585,99.085366,-990.853659,6.273846
0.020000,65.060544,297.037502,54.655488,127.621951,79.268293,-990.853659,6.252903
0.020000,67.622555,296.929930,57.219817,128.810976,59.451220,-990.853659,6.229083
0.020000,70.200775,296.756163,59.803963,129.603659,39.634146,-990.853659,6.202197
0.020000,72.784811,296.507907,62.400000,130.000000,19.817073,-990.853659,6.172080
0.020000,75.363567,296.177168,65.000000,130.000000,0.000000,-990.853659,6.138605
0.020000,77.929056,295.755867,67.600000,130.000000,0.000000,0.000000,6.101640
0.020000,80.476257,295.235456,70.200000,130.000000,0.000000,0.000000,6.061051
0.020000,82.999059,294.607462,72.800000,130.000000,0.000000,0.000000,6.016765
0.020000,85.490176,293.863811,75.400000,130.000000,0.000000,0.000000,5.968801
0.020000,87.941198,292.997210,78.000000,130.000000,0.000000,0.000000,5.917301
0.020000,90.342679,292.001629,80.600000,130.000000,0.000000,0.000000,5.862555
0.020000,92.684432,290.872774,83.200000,130.000000,0.000000,0.000000,5.805020
0.020000,94.955928,289.608549,85.800000,130.000000,0.000000,0.000000,5.745317
0.020000,97.146854,288.209356,88.400000,130.000000,0.000000,0.000000,5.684207
0.020000,99.247696,286.678240,91.000000,130.000000,0.000000,0.000000,5.622542
0.020000,101.250338,285.020750,93.600000,130.000000,0.000000,0.000000,5.561202
0.020000,103.148524,283.244580,96.200000,130.000000,0.000000,0.000000,5.501019
0.020000,104.938136,281.359017,98.800000,130.000000,0.000000,0.000000,5.442718
0.020000,106.617222,279.374344,101.400000,130.000000,0.000000,0.000000,5.386874
0.020000,108.185849,277.301234,104.000000,130.000000,0.000000,0.000000,5.333900
0.020000,109.645853,275.150187,106.600000,130.000000,0.000000,0.000000,5.284041
0.020000,111.000427,272.931194,109.200000,130.000000,0.000000,0.000000,5.237406
0.020000,112.253764,270.653474,111.800000,130.000000,0.000000,0.000000,5.193987
0.020000,113.410735,268.325282,114.400000,130.000000,0.000000,0.000000,5.153693
0.020000,114.476561,265.953936,117.000000,130.000000,0.000000,0.000000,5.116377
0.020000,115.456574,263.545883,119.600000,130.000000,0.000000,0.000000,5.081857
0.020000,116.356120,261.106575,122.200000,130.000000,0.000000,0.000000,5.049934
0.020000,117.180356,258.640758,124.800000,130.000000,0.000000,0.000000,5.020404
0.020000,117.934191,256.152542,127.400000,130.000000,0.000000,0.000000,4.993068
0.020000,118.622301,253.645293,130.000000,130.000000,0.000000,0.000000,4.967735
0.020000,119.249011,251.122047,132.600000,130.000000,0.000000,0.000000,4.944229
0.020000,119.818393,248.585193,135.200000,130.000000,0.000000,0.000000,4.922383
0.020000,120.334169,246.036952,137.800000,130.000000,0.000000,0.000000,4.902048
