dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.630729,284.379971,0.004390,0.439024,21.951220,1097.560976,6.282257
0.020000,10.631986,284.379970,0.005648,0.062868,-18.807812,-2037.951577,6.282386
0.020000,10.634812,284.379968,0.008473,0.141264,3.919815,1136.381374,6.282676
0.020000,10.640448,284.379967,0.014109,0.281813,7.027414,155.379935,0.000005
0.020000,10.757994,284.380014,0.131655,5.877288,279.773743,13637.316452,0.000804
0.020000,10.927192,284.380247,0.300853,8.459928,129.132040,-7532.085141,0.001947
0.020000,11.157338,284.380873,0.531001,11.507355,152.371310,1161.963488,0.003489
0.020000,11.457698,284.382220,0.831364,15.018151,175.539813,1158.425163,0.005477
0.020000,11.837435,284.384771,1.211108,18.987243,198.454614,1145.740007,0.007953
0.020000,12.305637,284.389198,1.679331,23.411147,221.195210,1137.029828,0.010947
0.020000,12.866581,284.396326,2.240321,28.049487,231.916981,536.088543,0.014451
0.020000,13.519789,284.407068,2.893618,32.664826,230.766957,-57.501205,0.018416
0.020000,14.264720,284.422428,3.638706,37.254434,229.480392,-64.328258,0.022791
0.020000,15.100742,284.443474,4.474994,41.814368,227.996700,-74.184587,0.027513
0.020000,16.027175,284.471309,5.401845,46.342565,226.409871,-79.341454,0.032519
0.020000,17.043280,284.507041,6.418578,50.836647,224.704086,-85.289267,0.037737
0.020000,18.148260,284.551754,7.524462,55.294181,222.876719,-91.368350,0.043094
0.020000,19.341279,284.606472,8.718735,59.713659,220.973899,-95.140977,0.048510
0.020000,20.621447,284.672129,10.000585,64.092533,218.943699,-101.509978,0.053903
0.020000,21.987865,284.749532,11.369194,68.430448,216.895706,-102.399675,0.059189
0.020000,23.439585,284.839331,12.823689,72.724755,214.715398,-109.015413,0.064278
0.020000,24.975663,284.941985,14.363194,76.975206,212.522549,-109.642448,0.069080
0.020000,26.595127,285.057723,15.986788,81.179706,210.224984,-114.878213,0.073501
0.020000,28.296988,285.186514,17.693515,85.336381,207.833725,-119.562950,0.077444
0.020000,30.080263,285.328028,19.482396,89.444042,205.383051,-122.533728,0.080806
0.020000,31.943945,285.481598,21.352394,93.499908,202.793295,-129.487781,0.083483
0.020000,33.887015,285.646178,23.302422,97.501382,200.073733,-135.978090,0.085361
0.020000,35.908426,285.820301,25.331318,101.444824,197.172105,-145.081420,0.086324
0.020000,38.007091,286.002026,27.437837,105.325908,194.054198,-155.895348,0.086242
0.020000,40.181859,286.188884,29.620617,109.139035,190.656313,-169.894256,0.084976
0.020000,42.431485,286.377812,31.878163,112.877299,186.913222,-187.154527,0.082373
0.020000,44.754589,286.565086,34.208804,116.532012,182.735654,-208.878438,0.078261
0.020000,47.149600,286.746231,36.610655,120.092556,178.027185,-235.423429,0.072447
0.020000,49.614677,286.915927,39.081566,123.545557,172.650037,-268.857391,0.064712
0.020000,52.147630,287.067903,41.619074,126.875396,166.491985,-307.902636,0.054801
0.020000,54.745762,287.194806,44.220303,130.061470,159.303694,-359.414529,0.042421
0.020000,57.405745,287.288070,46.881921,133.080877,150.970363,-416.666555,0.027230
0.020000,60.123391,287.337764,49.600022,135.905047,141.208488,-488.093741,0.008827
0.020000,62.893396,287.332450,52.370032,138.500516,129.773432,-571.752798,6.269930
0.020000,65.709026,287.259041,55.186618,140.829306,116.439535,-666.694867,6.243622
0.020000,68.561754,287.102710,58.043626,142.850414,101.055402,-769.206615,6.212458
0.020000,71.437041,286.847280,60.930237,144.330542,74.006367,-1352.451747,6.175779
0.020000,74.314393,286.476100,63.831432,145.059718,36.458804,-1877.378168,6.132948
0.020000,77.171573,285.972599,66.732637,145.060261,0.027137,-1821.583334,6.083371
0.020000,79.985079,285.321073,69.620595,144.397900,-33.118033,-1657.258534,6.026591
0.020000,82.731221,284.507528,72.484709,143.205714,-59.609323,-1324.564473,5.962423
0.020000,85.387699,283.520406,75.318661,141.697597,-75.405841,-789.825909,5.891121
0.020000,87.935461,282.350959,78.121998,140.166863,-76.536677,-56.541824,5.813537
0.020000,90.360139,280.993255,80.900923,138.946262,-61.030070,775.330352,5.731206
0.020000,92.652380,279.444092,83.667559,138.331785,-30.723854,1515.310799,5.646269
0.020000,94.806816,277.703406,86.437321,138.488098,7.815669,1926.976151,5.561202
0.020000,96.822778,275.772849,89.228584,139.563163,53.753243,2296.878730,5.478338
0.020000,98.702144,273.655959,92.059352,141.538364,98.760034,2250.339515,5.399519
0.020000,100.446243,271.360668,94.942100,144.137434,129.953505,1559.673589,5.326022
0.020000,102.056356,268.899122,97.883473,147.068633,146.559956,830.322524,5.258528
0.020000,103.534466,266.286547,100.885199,150.086283,150.882496,216.127019,5.197214
0.020000,104.883747,263.539744,103.945507,153.015407,146.456223,-221.313643,5.141902
0.020000,106.108658,260.675690,107.060505,155.749906,136.724936,-486.564380,5.092193
0.020000,107.214745,257.710521,110.225257,158.237610,124.385202,-616.986669,5.047580
0.020000,108.208304,254.658930,113.434520,160.463124,111.275724,-655.473897,5.007526
0.020000,109.096034,251.533896,116.683197,162.433853,98.536446,-636.963905,4.971510
0.020000,109.884729,248.346713,119.966515,164.165897,86.602159,-596.714360,4.939046
0.020000,110.581087,245.106947,123.280273,165.687920,76.101172,-525.049336,4.909700
0.020000,111.123227,242.094137,126.341472,153.059958,-631.398122,-35374.964741,4.863686
0.020000,111.517574,238.985353,129.475168,156.684816,181.242916,40632.051925,4.815890
0.020000,111.791794,235.748285,132.723830,162.433095,287.413979,5308.553138,4.779927
0.020000,111.971616,232.410151,136.066804,167.148703,235.780375,-2581.680192,4.754185
0.020000,112.083322,228.995173,139.483609,170.840214,184.575576,-2560.239961,4.737467
0.020000,112.153278,225.522360,142.957126,173.675881,141.783333,-2139.612124,4.728921
0.020000,112.207608,222.006640,146.473266,175.806994,106.555654,-1761.383969,4.728005
0.020000,112.272281,218.459895,150.020600,177.366700,77.985266,-1428.519384,4.734447
0.020000,112.373406,214.891892,153.590036,178.471810,55.255510,-1136.487822,4.748218
0.020000,112.537649,211.311179,157.174514,179.223880,37.603507,-882.600150,4.769497
0.020000,112.792655,207.726061,160.768690,179.708804,24.246202,-667.865246,4.798637
0.020000,113.167344,204.145850,164.368454,179.988200,13.969819,-513.819129,4.836121
0.020000,113.691957,200.581966,167.970743,180.114433,6.311641,-382.908893,4.882484
0.020000,114.398461,197.045644,171.576949,180.310302,9.793436,174.089714,4.938269
0.020000,115.320188,193.550967,175.191136,180.709351,19.952449,507.950648,5.003897
0.020000,116.488587,190.122491,178.813236,181.105010,19.782983,-8.473303,5.079363
0.020000,117.927812,186.797876,182.436001,181.138253,1.662106,-906.043835,5.163927
0.020000,119.647066,183.627654,186.042404,180.320148,-40.905234,-2128.366996,5.255837
0.020000,121.633111,180.669774,189.605189,178.139225,-109.046137,-3407.045136,5.352291
0.020000,123.847269,177.978729,193.090045,174.242801,-194.821221,-4288.754215,5.449758
0.020000,126.230248,175.593167,196.461912,168.593375,-282.471289,-4382.503396,5.544630
0.020000,128.713592,173.528071,199.691714,161.490100,-355.163748,-3634.622947,5.633917
0.020000,131.232174,171.774945,202.760380,153.433275,-402.841254,-2383.875322,5.715661
0.020000,133.732643,170.308159,205.659311,144.946566,-424.335460,-1074.710279,5.788981
0.020000,136.176081,169.093241,208.388123,136.440620,-425.297266,-48.090280,5.853840
0.020000,138.536692,168.093626,210.951658,128.176750,-413.193529,605.186817,5.910737
0.020000,140.798661,167.274860,213.357252,120.279703,-394.852319,917.060506,5.960436
0.020000,142.953354,166.606413,215.613249,112.799848,-373.992771,1042.977384,6.003785
0.020000,144.996501,166.062310,217.727605,105.717762,-354.104286,994.424259,6.041609
0.020000,146.926627,165.620823,219.707578,98.998699,-335.953169,907.555836,6.074655
0.020000,148.743973,165.263936,221.559636,92.602863,-319.791788,808.069069,6.103582
0.020000,150.449544,164.976795,223.289209,86.478656,-306.210362,679.071309,6.128950
0.020000,152.044792,164.747126,224.900905,80.584789,-294.693361,575.850026,6.151233
0.020000,153.531389,164.564755,226.398646,74.887071,-284.885879,490.374102,6.170830
0.020000,154.910896,164.421237,227.785598,69.347621,-276.972516,395.668172,6.188074
0.020000,156.184962,164.309510,229.064554,63.947760,-269.993019,348.974832,6.203244
0.020000,157.355035,164.223671,230.237771,58.660887,-264.343665,282.467710,6.216573
0.020000,158.422405,164.158764,231.307113,53.467088,-259.689964,232.685045,6.228255
0.020000,159.388308,164.110619,232.274215,48.355104,-255.599207,204.537881,6.238452
0.020000,160.253691,164.075736,233.140301,43.304278,-252.541270,152.896853,6.247300
0.020000,161.019518,164.051173,233.906522,38.311069,-249.660488,144.039057,6.254911
0.020000,161.686604,164.034474,234.573817,33.364736,-247.316631,117.192863,6.261380
0.020000,162.255612,164.023607,235.142929,28.455590,-245.457283,92.967430,6.266782
0.020000,162.727616,164.016906,235.614981,23.602591,-242.649965,140.365871,6.271184
0.020000,163.108513,164.013003,235.995897,19.045830,-227.838040,740.596267,6.274686
0.020000,163.408241,164.010864,236.295633,14.986801,-202.951475,1244.328226,6.277410
