dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,636.389321,290.218778,0.004390,0.439024,21.951220,1097.560976,3.178628
0.020000,636.390094,290.218806,0.005163,0.038645,-20.018948,-2098.508397,3.178707
0.020000,636.391832,290.218871,0.006903,0.086978,2.416631,1121.778970,3.178886
0.020000,636.387412,290.218704,0.011326,0.221165,6.709341,214.635507,3.179203
0.020000,636.282571,290.214733,0.116242,5.245803,251.231892,12226.127529,3.179699
0.020000,636.131613,290.208924,0.267311,7.553468,115.383259,-6792.431629,3.180415
0.020000,635.926176,290.200844,0.472908,10.279819,136.317542,1046.714164,3.181392
0.020000,635.657895,290.189989,0.741408,13.425001,157.259107,1047.078243,3.182672
0.020000,635.318438,290.175760,1.081163,16.987750,178.137474,1043.918347,3.184298
0.020000,634.899480,290.157435,1.500522,20.967935,199.009220,1043.587306,3.186315
0.020000,634.396925,290.134332,2.003607,25.154293,209.317900,515.434000,3.188750
0.020000,633.810876,290.105835,2.590349,29.337088,209.139753,-8.907351,3.191611
0.020000,633.141464,290.071220,3.260655,33.515294,208.910329,-11.471209,3.194907
0.020000,632.388853,290.029648,4.014414,37.687945,208.632550,-13.888948,3.198648
0.020000,631.553216,289.980161,4.851514,41.855014,208.353436,-13.955696,3.202848
0.020000,630.634773,289.921681,5.771817,46.015146,208.006590,-17.342301,3.207520
0.020000,629.633767,289.853004,6.775177,50.167993,207.642337,-18.212637,3.212679
0.020000,628.550489,289.772791,7.861421,54.312182,207.209454,-21.644178,3.218342
0.020000,627.385261,289.679567,9.030372,58.447551,206.768469,-22.049236,3.224528
0.020000,626.138456,289.571711,10.281833,62.573047,206.274778,-24.684577,3.231258
0.020000,624.810506,289.447450,11.615584,66.687549,205.725105,-27.483656,3.238553
0.020000,623.401897,289.304852,13.031392,70.790441,205.144594,-29.025504,3.246437
0.020000,621.913184,289.141816,14.529006,74.880700,204.512957,-31.581862,3.254936
0.020000,620.344996,288.956067,16.108157,78.957516,203.840830,-33.606381,3.264078
0.020000,618.698052,288.745144,17.768552,83.019770,203.112691,-36.406948,3.273893
0.020000,616.973159,288.506394,19.509890,87.066918,202.357401,-37.764477,3.284412
0.020000,615.171239,288.236961,21.331842,91.097583,201.533224,-41.208850,3.295668
0.020000,613.293330,287.933779,23.234068,95.111294,200.685584,-42.381989,3.307696
0.020000,611.340604,287.593561,25.216210,99.107110,199.790792,-44.739619,3.320533
0.020000,609.314386,287.212793,27.277895,103.084220,198.855462,-46.766494,3.334217
0.020000,607.216158,286.787726,29.418745,107.042521,197.915081,-47.019048,3.348787
0.020000,605.047599,286.314372,31.638365,110.981006,196.924230,-49.542538,3.364284
0.020000,602.810580,285.788496,33.936364,114.899943,195.946846,-48.869195,3.380746
0.020000,600.507198,285.205618,36.312351,118.799371,194.971436,-48.770521,3.398215
0.020000,598.139793,284.561010,38.765946,122.679732,194.018046,-47.669502,3.416730
0.020000,595.710965,283.849703,41.296789,126.542133,193.120054,-44.899590,3.436327
0.020000,593.223599,283.066495,43.904546,130.387887,192.287668,-41.619314,3.457039
0.020000,590.680881,282.205960,46.588934,134.219354,191.573364,-35.715208,3.478898
0.020000,588.086319,281.262474,49.349717,138.039150,190.989782,-29.179103,3.501926
0.020000,585.443750,280.230232,52.186738,141.851074,190.596218,-19.678164,3.526139
0.020000,582.757360,279.103285,55.099932,145.659712,190.431913,-8.215271,3.551544
0.020000,580.035346,277.877283,58.085304,149.268594,180.444106,-499.390356,3.578101
0.020000,577.289643,276.550015,61.134980,152.483778,160.759156,-984.247517,3.605717
0.020000,574.532056,275.120085,64.241262,155.314117,141.516953,-962.110114,3.634280
0.020000,571.774155,273.587007,67.396629,157.768366,122.712462,-940.224563,3.663661
0.020000,569.027189,271.951292,70.593719,159.854499,104.306638,-920.291193,3.693716
0.020000,566.301982,270.214515,73.825306,161.579312,86.240672,-903.298330,3.724285
0.020000,563.608834,268.379355,77.084271,162.948275,68.448158,-889.625690,3.755197
0.020000,560.957440,266.449633,80.363557,163.964319,50.802198,-882.298006,3.786276
0.020000,558.356793,264.430290,83.656141,164.629199,33.244012,-877.909279,3.817341
0.020000,555.815128,262.327379,86.954974,164.941635,15.621760,-881.112582,3.848217
0.020000,553.336882,260.145296,90.256972,165.099911,7.913818,-385.397117,3.878768
0.020000,550.923055,257.886255,93.563001,165.301444,10.076677,108.142962,3.908906
0.020000,548.574413,255.552666,96.873855,165.542698,12.062661,99.299171,3.938549
0.020000,546.291495,253.147112,100.190240,165.819226,13.826411,88.187495,3.967626
0.020000,544.074620,250.672318,103.512760,166.126021,15.339739,75.666397,3.996074
0.020000,541.923884,248.131112,106.841933,166.458626,16.630259,64.526042,4.023840
0.020000,539.909053,245.615969,110.064585,161.132641,-266.299231,-14146.474525,4.053153
0.020000,538.830001,243.949151,112.050192,99.280333,-3092.615407,-141315.808810,4.218497
0.020000,537.946473,241.958257,114.228329,108.906829,481.324773,178697.009011,4.364131
0.020000,537.260628,239.620089,116.665010,121.834057,646.361445,8251.833605,4.483298
0.020000,536.779211,236.971815,119.356685,134.583766,637.485420,-443.801255,4.576360
0.020000,536.492503,234.075286,122.267369,145.534202,547.521801,-4498.180969,4.646888
0.020000,536.375598,230.992297,125.352574,154.260241,436.301960,-5560.992030,4.698875
0.020000,536.395387,227.774391,128.570541,160.898359,331.905903,-5219.802859,4.735693
0.020000,536.516168,224.459504,131.887627,165.854301,247.797110,-4205.439635,4.759886
0.020000,536.702650,221.074494,135.277770,169.507153,182.642573,-3257.726837,4.773222
0.020000,536.920872,217.637906,138.721280,172.175477,133.416201,-2461.318592,4.776816
0.020000,537.138003,214.162294,142.203668,174.119407,97.196497,-1810.985203,4.771251
0.020000,537.321611,210.655965,145.714801,175.556630,71.861159,-1266.766898,4.756664
0.020000,537.438642,207.124415,149.248290,176.674455,55.891262,-798.494856,4.732806
0.020000,537.454271,203.571738,152.801001,177.635567,48.055585,-391.783890,4.699094
0.020000,537.330694,200.001260,156.373617,178.630802,49.761771,85.309337,4.654664
0.020000,537.025558,196.414220,159.973611,179.999710,68.445393,934.181104,4.598402
0.020000,536.490465,192.814702,163.612685,181.953691,97.699065,1462.683563,4.529100
0.020000,535.672180,189.219945,167.299400,184.335762,119.103513,1070.222417,4.445871
0.020000,534.518834,185.668895,171.033053,186.682633,117.343564,-87.997439,4.348781
0.020000,532.993575,182.228898,174.796030,188.148843,73.310511,-2201.652681,4.239636
0.020000,531.093750,178.992307,178.549010,187.648993,-24.992509,-4915.150967,4.122483
0.020000,528.865016,176.056709,182.234792,184.289095,-167.994892,-7150.119182,4.003211
0.020000,526.396327,173.494947,185.792466,177.883735,-320.268035,-7613.657108,3.888096
0.020000,523.794966,171.334388,189.174048,169.079103,-440.231592,-5998.177848,3.782076
0.020000,521.158352,169.558116,192.353180,158.956566,-506.126846,-3294.762712,3.687854
0.020000,518.558348,168.121421,195.323720,148.527020,-521.477278,-767.521602,3.606057
0.020000,516.040322,166.969922,198.092547,138.441361,-504.282939,859.716926,3.535971
0.020000,513.629278,166.051186,200.672704,129.007857,-471.675229,1630.385497,3.476250
0.020000,511.337102,165.319856,203.078721,120.300813,-435.352213,1816.150816,3.425392
0.020000,509.167888,164.738672,205.324442,112.286070,-400.737142,1730.753564,3.381981
0.020000,507.121761,164.277831,207.421824,104.869088,-370.849098,1494.402183,3.344786
0.020000,505.196888,163.913669,209.380842,97.950884,-345.910208,1246.944533,3.312779
0.020000,503.390603,163.627388,211.209672,91.441528,-325.467776,1022.121561,3.285118
0.020000,501.699879,163.403962,212.915095,85.271147,-308.519060,847.435832,3.261118
0.020000,500.121981,163.231341,214.502407,79.365617,-295.276504,662.127784,3.240224
0.020000,498.654275,163.099742,215.976001,73.679702,-284.295727,549.038864,3.221989
0.020000,497.294466,163.001183,217.339377,68.168780,-275.546120,437.480350,3.206047
0.020000,496.040345,162.929087,218.595569,62.809599,-267.959038,379.354071,3.192101
0.020000,494.890212,162.878027,219.746834,57.563274,-262.316265,282.138656,3.179908
0.020000,493.842461,162.843481,220.795155,52.416047,-257.361355,247.745503,3.169268
0.020000,492.895691,162.821681,221.742175,47.351005,-253.252069,205.464307,3.160017
0.020000,492.048870,162.809482,222.589085,42.345484,-250.276059,148.800495,3.152020
0.020000,491.300868,162.804257,223.337105,37.401003,-247.224063,152.599821,3.145166
0.020000,490.650906,162.803828,223.987068,32.498114,-245.144426,103.981841,3.139364
