dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,635.667300,309.705406,0.004390,0.439024,21.951220,1097.560976,3.178628
0.020000,635.666527,309.705377,0.005163,0.038645,-20.018948,-2098.508397,3.178707
0.020000,635.664789,309.705313,0.006903,0.086978,2.416631,1121.778970,3.178886
0.020000,635.654184,309.704914,0.017515,0.530601,22.181136,988.225263,3.179203
0.020000,635.539671,309.700577,0.132111,5.729800,259.959983,11888.942322,3.179699
0.020000,635.374761,309.694230,0.297142,8.251582,126.089076,-6693.545348,3.180415
0.020000,635.150291,309.685402,0.521786,11.232194,149.030620,1147.077225,3.181392
0.020000,634.857076,309.673538,0.815241,14.672737,172.027143,1149.826144,3.182672
0.020000,634.485940,309.657981,1.186703,18.573087,195.017467,1149.516213,3.184298
0.020000,634.027684,309.637937,1.645397,22.934723,218.081823,1153.217774,3.186315
0.020000,633.477696,309.612653,2.195966,27.528428,229.685231,580.170415,3.188750
0.020000,632.835928,309.581448,2.838492,32.126335,229.895373,10.507099,3.191611
0.020000,632.102333,309.543514,3.573068,36.728756,230.121044,11.283559,3.194907
0.020000,631.276869,309.497917,4.399790,41.336101,230.367240,12.309770,3.198648
0.020000,630.359479,309.443588,5.318787,45.949853,230.687609,16.018453,3.202848
0.020000,629.350121,309.379319,6.330188,50.570085,231.011612,16.200174,3.207520
0.020000,628.248750,309.303755,7.434149,55.198024,231.396919,19.265330,3.212679
0.020000,627.055341,309.215387,8.630825,59.833819,231.789765,19.642331,3.218342
0.020000,625.769868,309.112542,9.920405,64.479007,232.259388,23.481123,3.224528
0.020000,624.392329,308.993376,11.303089,69.134193,232.759340,24.997605,3.231258
0.020000,622.922750,308.855860,12.779088,73.799962,233.288420,26.453995,3.238553
0.020000,621.361181,308.697775,14.348638,78.477495,233.876673,29.412633,3.246437
0.020000,619.707716,308.516694,16.011990,83.167566,234.503540,31.343392,3.254936
0.020000,617.962493,308.309973,17.769414,87.871208,235.182077,33.926846,3.264078
0.020000,616.125713,308.074735,19.621196,92.589116,235.895427,35.667504,3.273893
0.020000,614.197643,307.807858,21.567648,97.322616,236.675006,38.978919,3.284412
0.020000,612.178648,307.505962,23.609090,102.072055,237.471925,39.845950,3.295668
0.020000,610.069189,307.165392,25.745864,106.838707,238.332614,43.034459,3.307696
0.020000,607.869858,306.782201,27.978327,111.623182,239.223729,44.555735,3.320533
0.020000,605.581395,306.352145,30.306848,116.426032,240.142506,45.938873,3.334217
0.020000,603.204710,305.870658,32.731815,121.248331,241.114981,48.623742,3.348787
0.020000,600.740929,305.332852,35.253610,126.089749,242.070889,47.795386,3.364284
0.020000,598.191412,304.733503,37.872628,130.950907,243.057881,49.349595,3.380746
0.020000,595.557799,304.067045,40.589258,135.831538,244.031546,48.683284,3.398215
0.020000,592.842054,303.327575,43.403879,140.731044,244.975328,47.189067,3.416730
0.020000,590.046503,302.508853,46.316852,145.648630,245.879272,45.197236,3.436327
0.020000,587.173896,301.604323,49.328503,150.582575,246.697274,40.900084,3.457039
0.020000,584.227446,300.607133,52.439124,155.531011,247.421800,36.226321,3.478898
0.020000,581.210892,299.510173,55.648940,160.490798,247.989320,28.375978,3.501926
0.020000,578.128546,298.306122,58.958108,165.458416,248.380912,19.579618,3.526139
0.020000,574.985340,296.987515,62.366695,170.429355,248.546940,8.301389,3.551544
0.020000,571.791172,295.548830,65.869912,175.160838,236.574165,-598.638740,3.578101
0.020000,568.560665,293.987186,69.458073,179.408075,212.361874,-1210.614583,3.605717
0.020000,565.308648,292.300852,73.121315,183.162089,187.700688,-1233.059263,3.634280
0.020000,562.050004,290.489400,76.849601,186.414304,162.610748,-1254.497027,3.663661
0.020000,558.799510,288.553840,80.632736,189.156723,137.120919,-1274.491416,3.693716
0.020000,555.571645,286.496709,84.460385,191.382454,111.286591,-1291.716429,3.724285
0.020000,552.380385,284.322126,88.322114,193.086465,85.200548,-1304.302139,3.755197
