dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,634.683000,17.470774,0.003963,0.396341,19.817073,990.853659,3.133419
0.020000,634.682871,17.470775,0.004092,0.006414,-19.496374,-1965.672352,3.133406
0.020000,634.682582,17.470777,0.004381,0.014475,0.403067,994.972063,3.133377
0.020000,634.676192,17.470830,0.010771,0.319499,15.251208,742.407030,3.133323
0.020000,634.576293,17.471660,0.110673,4.995098,233.779935,10926.436339,3.133240
0.020000,634.432423,17.472871,0.254549,7.193772,109.933674,-6192.313059,3.133117
0.020000,634.236569,17.474547,0.450410,9.793074,129.965095,1001.571049,3.132948
0.020000,633.980705,17.476788,0.706284,12.793684,150.030539,1003.272234,3.132721
0.020000,633.660789,17.479673,1.026212,15.996429,160.137211,505.333607,3.132428
0.020000,633.276764,17.483262,1.410254,19.202102,160.283692,7.324022,3.132063
0.020000,632.828561,17.487632,1.858479,22.411215,160.455652,8.597997,3.131620
0.020000,632.316100,17.492878,2.370967,25.624416,160.660026,10.218727,3.131090
0.020000,631.739288,17.499116,2.947812,28.842271,160.892736,11.635474,3.130462
0.020000,631.098022,17.506487,3.589120,32.065396,161.156247,13.175549,3.129728
0.020000,630.392189,17.515160,4.295008,35.294360,161.448243,14.599806,3.128874
0.020000,629.621660,17.525338,5.065604,38.529802,161.772080,16.191869,3.127887
0.020000,628.786298,17.537256,5.901050,41.772339,162.126843,17.738148,3.126753
0.020000,627.885954,17.551196,6.801502,45.022596,162.512838,19.299738,3.125456
0.020000,626.920468,17.567483,7.767126,48.281186,162.929515,20.833836,3.123979
0.020000,625.889666,17.586497,8.798103,51.548854,163.383399,22.694205,3.122303
0.020000,624.793366,17.608676,9.894628,54.826225,163.868562,24.258172,3.120408
0.020000,623.631375,17.634525,11.056906,58.113927,164.385072,25.825495,3.118273
0.020000,622.403488,17.664622,12.285162,61.412774,164.942379,27.865347,3.115875
0.020000,621.109492,17.699629,13.579631,64.723469,165.534762,29.619133,3.113190
0.020000,619.749164,17.740296,14.940567,68.046788,166.165941,31.558980,3.110192
0.020000,618.322274,17.787476,16.368237,71.383489,166.835038,33.454854,3.106854
0.020000,616.828583,17.842132,17.862927,74.734508,167.550969,35.796507,3.103146
0.020000,615.267850,17.905347,19.424940,78.100651,168.307146,37.808886,3.099037
0.020000,613.639831,17.978339,21.054595,81.482746,169.104728,39.879103,3.094494
0.020000,611.944280,18.062474,22.752232,84.881850,169.955184,42.522798,3.089483
0.020000,610.180957,18.159275,24.518209,88.298887,170.851894,44.835462,3.083967
0.020000,608.349630,18.270441,26.352908,91.734910,171.801116,47.461110,3.077906
0.020000,606.450081,18.397862,28.256725,95.190895,172.799259,49.907175,3.071260
0.020000,604.482111,18.543633,30.230087,98.668061,173.858278,52.950924,3.063986
0.020000,602.445554,18.710074,32.273433,102.167329,174.963419,55.257087,3.056037
0.020000,600.340282,18.899749,34.387233,105.689977,176.132406,58.449324,3.047367
0.020000,598.166221,19.115482,36.571971,109.236922,177.347263,60.742852,3.037924
0.020000,595.923363,19.360377,38.828159,112.809398,178.623769,63.825279,3.027658
0.020000,593.611792,19.637840,41.156323,116.408188,179.939523,65.787707,3.016513
0.020000,591.231697,19.951598,43.557010,120.034328,181.306980,68.372846,3.004433
0.020000,588.783406,20.305715,46.030777,123.688395,182.703345,69.818259,2.991362
0.020000,586.271551,20.703925,48.574001,127.161186,173.639589,-453.187766,2.977264
0.020000,583.705112,21.149322,51.178802,130.240048,153.943056,-984.826698,2.962135
0.020000,581.093293,21.644791,53.837202,132.919972,133.996229,-997.341331,2.945980
0.020000,578.445531,22.192924,56.541105,135.195177,113.760256,-1011.798637,2.928816
0.020000,575.771490,22.795910,59.282289,137.059195,93.200872,-1027.969229,2.910673
0.020000,573.081045,23.455439,62.052392,138.505151,72.297826,-1045.152305,2.891596
0.020000,570.384257,24.172588,64.842906,139.525715,51.028198,-1063.481393,2.871645
0.020000,567.691328,24.947723,67.645173,140.113333,29.380898,-1082.364961,2.850894
0.020000,565.008469,25.781712,70.454669,140.474806,18.073632,-565.363340,2.829402
0.020000,562.337930,26.676307,73.271064,140.819762,17.247823,-41.290448,2.807202
0.020000,559.682109,27.633062,76.093965,141.145027,16.263259,-49.228182,2.784334
0.020000,557.043538,28.653304,78.922913,141.447389,15.118063,-57.259790,2.760845
0.020000,554.424865,29.738102,81.757386,141.723660,13.813558,-65.225283,2.736790
0.020000,551.828822,30.888244,84.596799,141.970645,12.349239,-73.215932,2.712227
0.020000,549.258190,32.104221,87.440520,142.186051,10.770311,-78.946403,2.687222
0.020000,546.715781,33.386202,90.287855,142.366760,9.035469,-86.742107,2.661847
0.020000,544.204374,34.734035,93.138086,142.511552,7.239581,-89.794366,2.636174
0.020000,541.726700,36.147237,95.990455,142.618449,5.344857,-94.736241,2.610282
0.020000,539.285391,37.625001,98.844186,142.686545,3.404821,-97.001777,2.584250
0.020000,536.882939,39.166210,101.698499,142.715646,1.455027,-97.489708,2.558158
0.020000,534.521661,40.769460,104.552625,142.706327,-0.465927,-96.047719,2.532085
0.020000,532.203672,42.433078,107.405816,142.659542,-2.339249,-93.666057,2.506109
0.020000,529.930864,44.155155,110.257344,142.576374,-4.158418,-90.958480,2.480303
0.020000,527.704874,45.933582,113.106525,142.459061,-5.865659,-85.362040,2.454738
0.020000,525.527082,47.766087,115.952725,142.309985,-7.453807,-79.407383,2.429479
0.020000,523.398591,49.650279,118.795373,142.132437,-8.877399,-71.179602,2.404584
0.020000,520.849346,52.246637,122.434017,181.932185,1989.987412,99943.240553,2.286254
0.020000,518.490176,55.359300,126.339699,195.284104,667.595965,-66119.572386,2.152035
0.020000,516.571835,58.755973,130.240650,195.047534,-11.828529,-33971.224705,2.018304
0.020000,515.140282,62.297163,134.060254,190.980201,-203.366652,-9576.906141,1.892959
0.020000,514.173290,65.853437,137.745652,184.269888,-335.515641,-6607.449414,1.781439
0.020000,513.604315,69.337317,141.275687,176.501764,-388.406207,-2644.528316,1.685913
0.020000,513.353837,72.705821,144.653491,168.890187,-380.578850,391.367854,1.606045
0.020000,513.349118,75.947222,147.894896,162.070255,-340.996581,1979.113437,1.540200
0.020000,513.531108,79.066460,151.019437,156.227093,-292.158123,2441.922916,1.486362
0.020000,513.854222,82.075522,154.045799,151.318055,-245.451876,2335.312342,1.442608
0.020000,514.283727,84.988105,156.989880,147.204063,-205.699618,1987.612872,1.407302
0.020000,514.792937,87.817287,159.864521,143.732070,-173.599656,1604.998136,1.379124
0.020000,515.360907,90.574586,162.679710,140.759461,-148.630435,1248.461043,1.357048
0.020000,515.970719,93.269741,165.442993,138.164111,-129.767473,943.148106,1.340298
0.020000,516.608240,95.910811,168.159918,135.846243,-115.893413,693.702987,1.328305
0.020000,517.261211,98.504277,170.834322,133.720215,-106.301413,479.600018,1.320673
0.020000,517.918586,101.055206,173.468593,131.713548,-100.333360,298.402636,1.317158
0.020000,518.570017,103.567336,176.063811,129.760933,-97.630757,135.130130,1.317649
0.020000,519.205445,106.043103,178.619822,127.800540,-98.019621,-19.443167,1.322161
0.020000,519.814756,108.483594,181.135226,125.770189,-101.517562,-174.897078,1.330837
0.020000,520.387486,110.888398,183.607290,123.603195,-108.349705,-341.607124,1.343957
0.020000,520.912554,113.255333,186.031765,121.223758,-118.971831,-531.106333,1.361957
0.020000,521.378059,115.580052,188.402632,118.543345,-134.020673,-752.442088,1.385453
0.020000,521.771161,117.855469,190.711756,115.456212,-154.356628,-1016.797747,1.415278
0.020000,522.078126,120.070993,192.948444,111.834410,-181.090093,-1336.673245,1.452527
0.020000,522.284601,122.210211,195.097603,107.457954,-218.822821,-1886.636404,1.498560
0.020000,522.376925,124.248824,197.138306,102.035111,-271.142145,-2615.966217,1.554930
0.020000,522.344853,126.157073,199.046824,95.425919,-330.459617,-2965.873575,1.623253
0.020000,522.184513,127.904339,200.801432,87.730413,-384.775268,-2715.782575,1.704941
0.020000,521.900515,129.465256,202.387975,79.327108,-420.165274,-1769.500292,1.800637
0.020000,521.505100,130.829002,203.807888,70.995682,-416.571312,179.698133,1.909380
0.020000,521.011890,132.007784,205.085693,63.890218,-355.273165,3064.907314,2.027848
