dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,634.762688,27.220448,0.004390,0.439024,21.951220,1097.560976,3.133419
0.020000,634.762688,27.220448,0.021951,1.317073,43.902439,1097.560976,3.133404
0.020000,634.762688,27.220448,0.061463,2.634146,65.853659,1097.560976,3.133372
0.020000,634.744011,27.220602,0.131707,4.390244,87.804878,1097.560976,3.133313
0.020000,634.634259,27.221516,0.241463,6.585366,109.756098,1097.560976,3.133220
0.020000,634.476216,27.222850,0.399512,9.219512,131.707317,1097.560976,3.133084
0.020000,634.261102,27.224701,0.614634,12.292683,153.658537,1097.560976,3.132895
0.020000,633.980137,27.227180,0.895610,15.804878,175.609756,1097.560976,3.132641
0.020000,633.624542,27.230422,1.251220,19.756098,197.560976,1097.560976,3.132309
0.020000,633.185538,27.234591,1.690244,24.146341,219.512195,1097.560976,3.131882
0.020000,632.658734,27.239847,2.217073,28.536585,219.512195,-0.000000,3.131344
0.020000,632.044135,27.246348,2.831707,32.926829,219.512195,0.000000,3.130682
0.020000,631.341740,27.254291,3.534146,37.317073,219.512195,-0.000000,3.129879
0.020000,630.551555,27.263923,4.324390,41.707317,219.512195,0.000000,3.128918
0.020000,629.673584,27.275546,5.202439,46.097561,219.512195,-0.000000,3.127778
0.020000,628.707831,27.289530,6.168293,50.487805,219.512195,0.000000,3.126435
0.020000,627.654307,27.306319,7.221951,54.878049,219.512195,-0.000000,3.124863
0.020000,626.513021,27.326445,8.363415,59.268293,219.512195,0.000000,3.123034
0.020000,625.283989,27.350542,9.592683,63.658537,219.512195,-0.000000,3.120919
0.020000,623.967231,27.379354,10.909756,68.048780,219.512195,0.000000,3.118481
0.020000,622.562775,27.413759,12.314634,72.439024,219.512195,0.000000,3.115687
0.020000,621.070655,27.454776,13.807317,76.829268,219.512195,0.000000,3.112496
0.020000,619.490922,27.503590,15.387805,81.219512,219.512195,0.000000,3.108866
0.020000,617.823639,27.561567,17.056098,85.609756,219.512195,0.000000,3.104751
0.020000,616.068888,27.630280,18.812195,90.000000,219.512195,0.000000,3.100104
0.020000,614.226778,27.711523,20.656098,94.390244,219.512195,0.000000,3.094871
0.020000,612.297451,27.807344,22.587805,98.780488,219.512195,0.000000,3.088997
0.020000,610.281091,27.920066,24.607317,103.170732,219.512195,-0.000000,3.082423
0.020000,608.177933,28.052315,26.714634,107.560976,219.512195,0.000000,3.075083
0.020000,605.988277,28.207052,28.909756,111.951220,219.512195,-0.000000,3.066912
0.020000,603.712510,28.387601,31.192683,116.341463,219.512195,0.000000,3.057836
0.020000,601.351114,28.597683,33.563415,120.731707,219.512195,0.000000,3.047778
0.020000,598.904704,28.841450,36.021951,125.121951,219.512195,-0.000000,3.036660
0.020000,596.374050,29.123517,38.568293,129.512195,219.512195,0.000000,3.024394
0.020000,593.760110,29.448998,41.202439,133.902439,219.512195,0.000000,3.010893
0.020000,591.064076,29.823538,43.924390,138.292683,219.512195,-0.000000,2.996065
0.020000,588.287419,30.253340,46.734146,142.682927,219.512195,0.000000,2.979815
0.020000,585.431947,30.745193,49.631707,147.073171,219.512195,-0.000000,2.962049
0.020000,582.499868,31.306482,52.617073,151.463415,219.512195,0.000000,2.942671
0.020000,579.493863,31.945201,55.690244,155.853659,219.512195,-0.000000,2.921590
0.020000,576.417162,32.669933,58.851220,160.243902,219.512195,0.000000,2.898721
0.020000,573.277861,33.488664,62.095610,164.195122,197.560976,-1097.560976,2.874024
0.020000,570.088850,34.408164,65.414634,167.707317,175.609756,-1097.560976,2.847516
0.020000,566.863480,35.434625,68.799512,170.780488,153.658537,-1097.560976,2.819245
0.020000,563.615511,36.573413,72.241463,173.414634,131.707317,-1097.560976,2.789300
0.020000,560.359016,37.828813,75.731707,175.609756,109.756098,-1097.560976,2.757806
0.020000,557.108240,39.203770,79.261463,177.365854,87.804878,-1097.560976,2.724932
0.020000,553.877427,40.699660,82.821951,178.682927,65.853659,-1097.560976,2.690883
0.020000,550.680600,42.316096,86.404390,179.560976,43.902439,-1097.560976,2.655902
0.020000,547.531332,44.050786,90.000000,180.000000,21.951220,-1097.560976,2.620261
0.020000,544.442488,45.899471,93.600000,180.000000,0.000000,-1097.560976,2.584250
0.020000,541.422358,47.858391,97.200000,180.000000,0.000000,0.000000,2.548123
0.020000,538.474886,49.925032,100.800000,180.000000,0.000000,0.000000,2.512091
0.020000,535.603491,52.096137,104.400000,180.000000,0.000000,0.000000,2.476353
0.020000,532.810986,54.367829,108.000000,180.000000,0.000000,0.000000,2.441095
0.020000,530.099558,56.735705,111.600000,180.000000,0.000000,0.000000,2.406485
0.020000,527.696255,59.256630,115.200000,180.000000,0.000000,0.000000,2.245408
0.020000,525.722408,62.260980,118.800000,180.000000,0.000000,0.000000,2.058895
0.020000,524.326218,65.574189,122.400000,180.000000,0.000000,0.000000,1.883842
