dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,634.842380,36.970122,0.004390,0.439024,21.951220,1097.560976,3.133419
0.020000,634.842522,36.970121,0.004532,0.007106,-21.595930,-2177.357461,3.133404
0.020000,634.842843,36.970118,0.004853,0.016042,0.446803,1102.136654,3.133372
0.020000,634.824740,36.970268,0.022956,0.905163,44.456059,2200.462804,3.133313
0.020000,634.715894,36.971175,0.131806,5.442483,226.865998,9120.496938,3.133220
0.020000,634.559176,36.972497,0.288530,7.836175,119.684592,-5359.070295,3.133084
0.020000,634.345905,36.974332,0.501809,10.663970,141.389755,1085.258126,3.132895
0.020000,634.067414,36.976790,0.780311,13.925099,163.056445,1083.334484,3.132641
0.020000,633.715057,36.980002,1.132682,17.618545,184.672331,1080.794327,3.132309
0.020000,633.280219,36.984131,1.567540,21.742921,206.218797,1077.323279,3.131882
0.020000,632.758658,36.989335,2.089126,26.079307,216.819276,530.023946,3.131344
0.020000,632.150513,36.995768,2.697305,30.408950,216.482170,-16.855274,3.130682
0.020000,631.455941,37.003622,3.391922,34.730831,216.094050,-19.405987,3.129879
0.020000,630.675125,37.013140,4.172796,39.043692,215.643040,-22.550541,3.128918
0.020000,629.808273,37.024616,5.039724,43.346409,215.135843,-25.359837,3.127778
0.020000,628.855616,37.038410,5.992481,47.637854,214.572247,-28.179765,3.126435
0.020000,627.817414,37.054954,7.030815,51.916682,213.941388,-31.542954,3.124863
0.020000,626.693953,37.074766,8.154451,56.181813,213.256554,-34.241741,3.123034
0.020000,625.485548,37.098458,9.363088,60.431858,212.502244,-37.715484,3.120919
0.020000,624.192545,37.126750,10.656400,64.665604,211.687333,-40.745526,3.118481
0.020000,622.815327,37.160487,12.034031,68.881554,210.797507,-44.491337,3.115687
0.020000,621.354310,37.200649,13.495600,73.078450,209.844782,-47.636219,3.112496
0.020000,619.809953,37.248369,15.040694,77.254699,208.812443,-51.616951,3.108866
0.020000,618.182760,37.304951,16.668871,81.408817,207.705921,-55.326113,3.104751
0.020000,616.473287,37.371889,18.379654,85.539140,206.516147,-59.488693,3.100104
0.020000,614.682146,37.450883,20.172536,89.644125,205.249215,-63.346608,3.094871
0.020000,612.810019,37.543861,22.046970,93.721721,203.879803,-68.470602,3.088997
0.020000,610.857662,37.653003,24.002376,97.770265,202.427207,-72.629808,3.082423
0.020000,608.825919,37.780758,26.038131,101.787762,200.874872,-77.616741,3.075083
0.020000,606.715739,37.929876,28.153574,105.772140,199.218864,-82.800388,3.066912
0.020000,604.528187,38.103421,30.347999,109.721269,197.456479,-88.119237,3.057836
0.020000,602.264461,38.304809,32.620665,113.633286,195.600863,-92.780820,3.047778
0.020000,599.925926,38.537820,34.970780,117.505753,193.623336,-98.876335,3.036660
0.020000,597.514123,38.806633,37.397517,121.336850,191.554822,-103.425722,3.024394
0.020000,595.030806,39.115840,39.900011,125.124680,189.391520,-108.165098,3.010893
0.020000,592.477968,39.470476,42.477363,128.867630,187.147518,-112.200078,2.996065
0.020000,589.857878,39.876030,45.128655,132.564605,184.848746,-114.938625,2.979815
0.020000,587.173111,40.338464,47.852956,136.215057,182.522609,-116.306835,2.962049
0.020000,584.426592,40.864214,50.649343,139.819342,180.214242,-115.418375,2.942671
0.020000,581.621628,41.460195,53.516923,143.378994,177.982599,-111.582140,2.921590
0.020000,578.761946,42.133784,56.454866,146.897120,175.906305,-103.814673,2.898721
0.020000,575.855635,42.891726,59.458383,150.175887,163.938337,-598.398424,2.874024
0.020000,572.914950,43.739598,62.518860,153.023812,142.396240,-1077.104830,2.847516
0.020000,569.952218,44.682446,65.627998,155.456942,121.656522,-1036.985904,2.819245
0.020000,566.979753,45.724609,68.777864,157.493297,101.817738,-991.939209,2.789300
0.020000,564.009746,46.869535,71.960912,159.152397,82.955007,-943.136557,2.757806
0.020000,561.054156,48.119612,75.169994,160.454092,65.084732,-893.513750,2.724932
0.020000,558.124571,49.476007,78.398349,161.417759,48.183331,-845.070063,2.690883
0.020000,555.232084,50.938537,81.639564,162.060728,32.148477,-801.742699,2.655902
0.020000,552.387174,52.505565,84.887500,162.396788,16.802979,-767.274897,2.620261
0.020000,549.599585,54.173941,88.136212,162.435636,1.942434,-743.027219,2.584250
