dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,28.329133,305.060066,0.004390,0.439024,21.951220,1097.560976,0.001257
0.020000,28.329890,305.060067,0.005148,0.037881,-20.057191,-2100.420535,0.001179
0.020000,28.331595,305.060069,0.006852,0.085219,2.366936,1121.206351,0.001004
0.020000,28.334624,305.060072,0.009881,0.151460,3.312032,47.254813,0.000694
0.020000,28.339355,305.060074,0.014612,0.236551,4.254549,47.125823,0.000209
0.020000,28.457025,305.060046,0.132283,5.883516,282.348269,13904.686023,6.282696
0.020000,28.681402,305.059829,0.356659,11.218831,266.765750,-779.125957,6.281746
0.020000,28.974458,305.059226,0.649717,14.652869,171.701869,-4753.194055,6.280507
0.020000,29.345344,305.057942,1.020604,18.544377,194.575439,1143.678524,6.278940
0.020000,29.803182,305.055556,1.478449,22.892210,217.391607,1140.808395,6.277009
0.020000,30.352544,305.051528,2.027825,27.468832,228.831098,571.974560,6.274697
0.020000,30.993381,305.045225,2.668694,32.043442,228.730529,-5.028490,6.272006
0.020000,31.725664,305.035915,3.401036,36.617080,228.681909,-2.430993,6.268939
0.020000,32.549324,305.022763,4.224801,41.188254,228.558689,-6.160983,6.265501
0.020000,33.464313,305.004837,5.139966,45.758253,228.499943,-2.937298,6.261694
0.020000,34.470547,304.981108,6.146479,50.325656,228.370177,-6.488289,6.257524
0.020000,35.567909,304.950455,7.244269,54.889491,228.191724,-8.922665,6.252997
0.020000,36.756299,304.911665,8.433292,59.451160,228.083464,-5.412987,6.248119
0.020000,38.035579,304.863439,9.713481,64.009444,227.914168,-8.464814,6.242897
0.020000,39.405568,304.804395,11.084741,68.563027,227.679176,-11.749599,6.237338
0.020000,40.866096,304.733074,12.547010,73.113424,227.519823,-7.967652,6.231452
0.020000,42.416933,304.647942,14.100181,77.658583,227.257994,-13.091452,6.225248
0.020000,44.057833,304.547396,15.744160,82.198906,227.016121,-12.093656,6.218736
0.020000,45.788506,304.429774,17.478825,86.733273,226.718335,-14.889308,6.211928
0.020000,47.608633,304.293358,19.304057,91.261596,226.416162,-15.108608,6.204837
0.020000,49.517856,304.136381,21.219722,95.783265,226.083465,-16.634849,6.197476
0.020000,51.515779,303.957037,23.225678,100.297808,225.727133,-17.816611,6.189860
0.020000,53.601966,303.753488,25.321772,104.804694,225.344315,-19.140910,6.182005
0.020000,55.775940,303.523875,27.507838,109.303272,224.928885,-20.771487,6.173928
0.020000,58.037171,303.266326,29.783689,113.792575,224.465180,-23.185257,6.165647
0.020000,60.385106,302.978966,32.149143,118.272701,224.006282,-22.944892,6.157182
0.020000,62.819139,302.659927,34.603997,122.742668,223.498333,-25.397489,6.148553
