dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,28.341388,295.310074,0.004390,0.439024,21.951220,1097.560976,0.001285
0.020000,28.341388,295.310074,0.021951,1.317073,43.902439,1097.560976,0.001123
0.020000,28.341388,295.310074,0.061463,2.634146,65.853659,1097.560976,0.000757
0.020000,28.341388,295.310074,0.131707,4.390244,87.804878,1097.560976,0.000107
0.020000,28.439576,295.310029,0.241463,6.585366,109.756098,1097.560976,6.282277
0.020000,28.597623,295.309770,0.399512,9.219512,131.707317,1097.560976,6.280816
0.020000,28.812745,295.309047,0.614634,12.292683,153.658537,1097.560976,6.278829
0.020000,29.093715,295.307459,0.895610,15.804878,175.609756,1097.560976,6.276236
0.020000,29.449312,295.304405,1.251220,19.756098,197.560976,1097.560976,6.272959
0.020000,29.888301,295.299028,1.690244,24.146341,219.512195,1097.560976,6.268919
0.020000,30.415059,295.290238,2.217073,28.536585,219.512195,-0.000000,6.264081
0.020000,31.029542,295.276766,2.831707,32.926829,219.512195,0.000000,6.258452
0.020000,31.731706,295.257142,3.534146,37.317073,219.512195,-0.000000,6.252040
0.020000,32.521473,295.229694,4.324390,41.707317,219.512195,0.000000,6.244855
0.020000,33.398733,295.192558,5.202439,46.097561,219.512195,-0.000000,6.236909
0.020000,34.363346,295.143682,6.168293,50.487805,219.512195,0.000000,6.228218
0.020000,35.415122,295.080835,7.221951,54.878049,219.512195,-0.000000,6.218800
0.020000,36.553826,295.001620,8.363415,59.268293,219.512195,0.000000,6.208677
0.020000,37.779168,294.903483,9.592683,63.658537,219.512195,-0.000000,6.197874
0.020000,39.090777,294.783732,10.909756,68.048780,219.512195,0.000000,6.186422
0.020000,40.488228,294.639552,12.314634,72.439024,219.512195,0.000000,6.174355
0.020000,41.971012,294.468027,13.807317,76.829268,219.512195,0.000000,6.161714
0.020000,43.538545,294.266160,15.387805,81.219512,219.512195,0.000000,6.148544
0.020000,45.190153,294.030905,17.056098,85.609756,219.512195,0.000000,6.134895
0.020000,46.925085,293.759189,18.812195,90.000000,219.512195,0.000000,6.120823
0.020000,48.742515,293.447948,20.656098,94.390244,219.512195,0.000000,6.106392
0.020000,50.641530,293.094159,22.587805,98.780488,219.512195,0.000000,6.091668
0.020000,52.621155,292.694871,24.607317,103.170732,219.512195,-0.000000,6.076725
0.020000,54.680364,292.247249,26.714634,107.560976,219.512195,0.000000,6.061642
0.020000,56.818077,291.748605,28.909756,111.951220,219.512195,-0.000000,6.046502
0.020000,59.033199,291.196438,31.192683,116.341463,219.512195,0.000000,6.031392
