dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,28.358090,285.560088,0.004390,0.439024,21.951220,1097.560976,0.001713
0.020000,28.356191,285.560085,0.006289,0.094959,-17.203254,-1957.723660,0.001518
0.020000,28.351917,285.560080,0.010563,0.213658,5.934938,1156.909591,0.001080
0.020000,28.344321,285.560074,0.018159,0.379835,8.308841,118.695165,0.000301
0.020000,28.415106,285.560040,0.088945,3.539270,157.971753,7483.145599,6.282268
0.020000,28.556048,285.559787,0.229887,7.047107,175.391828,871.003714,6.280514
0.020000,28.747855,285.559046,0.421695,9.590406,127.164975,-2411.342628,6.278124
0.020000,28.998355,285.557386,0.672200,12.525272,146.743312,978.916839,6.274998
0.020000,29.315310,285.554163,0.989172,15.848580,166.165403,971.104554,6.271036
0.020000,29.706522,285.548452,1.380426,19.562694,185.705701,977.014881,6.266135
0.020000,30.175795,285.539067,1.849793,23.468358,195.283202,478.875057,6.260243
0.020000,30.723061,285.524624,2.397249,27.372811,195.222616,-3.029291,6.253353
0.020000,31.348193,285.503501,3.022738,31.274455,195.082225,-7.019528,6.245460
0.020000,32.051023,285.473842,3.726193,35.172755,194.915007,-8.360898,6.236559
0.020000,32.831372,285.433555,4.507582,39.069430,194.833742,-4.063274,6.226646
0.020000,33.689040,285.380311,5.366901,42.965957,194.826355,-0.369326,6.215719
0.020000,34.623751,285.311547,6.304138,46.861844,194.794325,-1.601518,6.203779
0.020000,35.635214,285.224470,7.319342,50.760199,194.917770,6.172241,6.190831
0.020000,36.723073,285.116056,8.412590,54.662378,195.108959,9.559466,6.176881
0.020000,37.886931,284.983064,9.584021,58.571583,195.460220,17.563028,6.161944
0.020000,39.126319,284.822043,10.833825,62.490208,195.931271,23.552587,6.146041
0.020000,40.440726,284.629339,12.162284,66.422920,196.635575,35.215180,6.129199
0.020000,41.829567,284.401120,13.569750,70.373323,197.520179,44.230182,6.111455
0.020000,43.292196,284.133388,15.056681,74.346549,198.661310,57.056557,6.092856
0.020000,44.827899,283.822011,16.623634,78.347635,200.054287,69.648874,6.073459
0.020000,46.435899,283.462746,18.271279,82.382269,201.731679,83.869594,6.053334
0.020000,48.115365,283.051272,20.000417,86.456858,203.729475,99.889789,6.032561
0.020000,49.865393,282.583238,21.811951,90.576721,205.993154,113.183938,6.011233
0.020000,51.685041,282.054297,23.706917,94.748312,208.579518,129.318227,5.989457
0.020000,53.573310,281.460161,25.686452,98.976730,211.420936,142.070891,5.967350
0.020000,55.529183,280.796650,27.751805,103.267662,214.546592,156.282801,5.945039
0.020000,57.551626,280.059751,29.904314,107.625460,217.889876,167.164211,5.922662
0.020000,59.639615,279.245668,32.145392,112.053888,221.421408,176.576596,5.900364
0.020000,61.792162,278.350889,34.476506,116.555674,225.089276,183.393367,5.878294
0.020000,64.008345,277.372234,36.899155,121.132460,228.839333,187.502882,5.856607
0.020000,66.287348,276.306915,39.414858,125.785144,232.634176,189.742149,5.835458
0.020000,68.628504,275.152581,42.025126,130.513412,236.413403,188.961321,5.815002
0.020000,71.031344,273.907364,44.731452,135.316329,240.145854,186.622561,5.795393
0.020000,73.495647,272.569920,47.535297,140.192240,243.795573,182.485965,5.776780
0.020000,76.021500,271.139459,50.438080,145.139159,247.345913,177.516966,5.759308
0.020000,78.609354,269.615778,53.441178,150.154895,250.786812,172.044985,5.743119
0.020000,81.256515,268.001497,56.541720,155.027106,243.610568,-358.812203,5.728368
0.020000,83.957239,266.302392,59.732468,159.537355,225.512443,-904.906279,5.715214
0.020000,86.706360,264.525301,63.005955,163.674382,206.851346,-933.054829,5.703791
0.020000,89.499276,262.678024,66.354509,167.427696,187.665703,-959.282168,5.694213
0.020000,92.331904,260.769217,69.770255,170.787313,167.980869,-984.241696,5.686573
0.020000,95.200631,258.808284,73.245145,173.744471,147.857880,-1006.149445,5.680946
0.020000,98.102241,256.805263,76.770968,176.291184,127.335671,-1026.110443,5.677391
0.020000,101.033818,254.770724,80.339371,178.420104,106.445968,-1044.485163,5.675951
0.020000,103.992647,252.715663,83.941862,180.124560,85.222808,-1061.157979,5.676657
0.020000,106.976087,250.651401,87.569821,181.397976,63.670815,-1077.599631,5.679525
0.020000,109.985131,248.586969,91.218962,182.457014,52.951904,-535.945556,5.684565
0.020000,113.024457,246.529067,94.889447,183.524295,53.364023,20.605930,5.691795
0.020000,116.098793,244.484627,98.581503,184.602787,53.924625,28.030096,5.701238
0.020000,119.212862,242.460871,102.295397,185.694706,54.595959,33.566710,5.712922
0.020000,122.371323,240.465375,106.031422,186.801254,55.327363,36.570178,5.726876
0.020000,125.578696,238.506121,109.789868,187.922303,56.052458,36.254789,5.743131
0.020000,128.839259,236.591545,113.570989,189.056053,56.687495,31.751811,5.761714
0.020000,132.156937,234.730572,117.374962,190.198607,57.127738,22.012176,5.782641
0.020000,135.535153,232.932621,121.201837,191.343748,57.257031,6.464639,5.805919
0.020000,138.976674,231.207591,125.051486,192.482461,56.935649,-16.069075,5.831535
0.020000,142.483430,229.565801,128.923541,193.602765,56.015200,-46.022463,5.859451
0.020000,146.056325,228.017882,132.817335,194.689701,54.346802,-83.419922,5.889599
0.020000,149.695057,226.574613,136.731845,195.725509,51.790372,-127.821472,5.921874
0.020000,153.397956,225.246703,140.665649,196.690193,48.234204,-177.808417,5.956130
0.020000,156.830083,224.135109,144.273299,180.382474,-815.385927,-43181.006538,5.978604
0.020000,160.380989,223.041927,147.988670,185.768554,269.304018,54234.497258,5.990439
0.020000,163.943096,221.990996,151.702570,185.695031,-3.676185,-13649.010190,6.002123
0.020000,167.515652,220.981897,155.414906,185.616778,-3.912662,-11.823849,6.013647
0.020000,171.097920,220.014163,159.125587,185.534080,-4.134890,-11.111363,6.025001
0.020000,174.689180,219.087280,162.834531,185.447151,-4.346457,-10.578378,6.036176
0.020000,178.288726,218.200690,166.541655,185.356212,-4.546906,-10.022436,6.047166
0.020000,181.895875,217.353793,170.246889,185.261729,-4.724157,-8.862549,6.057961
0.020000,185.509958,216.545951,173.950159,185.163467,-4.913113,-9.447786,6.068554
0.020000,189.130328,215.776486,177.651396,185.061855,-5.080605,-8.374628,6.078939
0.020000,192.756367,215.044686,181.350542,184.957331,-5.226195,-7.279485,6.089110
0.020000,196.387472,214.349806,185.047539,184.849822,-5.375446,-7.462527,6.099060
0.020000,200.023068,213.691074,188.742331,184.739627,-5.509769,-6.716195,6.108784
0.020000,203.662611,213.067684,192.434875,184.627199,-5.621398,-5.581454,6.118277
0.020000,207.305570,212.478811,196.125123,184.512375,-5.741182,-5.989181,6.127534
0.020000,210.951452,211.923604,199.813036,184.395677,-5.834925,-4.687166,6.136552
0.020000,214.599781,211.401190,203.498579,184.277141,-5.926807,-4.594063,6.145327
0.020000,218.250113,210.910681,207.181719,184.157013,-6.006381,-3.978709,6.153856
0.020000,221.902027,210.451169,210.862429,184.035502,-6.075553,-3.458613,6.162135
0.020000,225.555127,210.021734,214.540684,183.912716,-6.139300,-3.187325,6.170162
0.020000,229.209045,209.621442,218.216462,183.788905,-6.190549,-2.562467,6.177935
0.020000,232.863433,209.249350,221.889745,183.664139,-6.238281,-2.386616,6.185452
0.020000,236.517971,208.904503,225.560517,183.538635,-6.275219,-1.846908,6.192711
0.020000,240.172362,208.585942,229.228767,183.412476,-6.307928,-1.635439,6.199712
0.020000,243.826331,208.292700,232.894483,183.285809,-6.333372,-1.272201,6.206453
0.020000,247.479623,208.023805,236.557658,183.158748,-6.353026,-0.982669,6.212933
0.020000,251.132008,207.778283,240.218286,183.031379,-6.368469,-0.772150,6.219152
0.020000,254.783273,207.555157,243.876362,182.903818,-6.378066,-0.479859,6.225109
0.020000,258.433226,207.353449,247.531884,182.776124,-6.384689,-0.331150,6.230804
0.020000,262.081694,207.172179,251.184852,182.648385,-6.386963,-0.113718,6.236237
0.020000,265.728519,207.010369,254.835265,182.520665,-6.385973,0.049508,6.241408
0.020000,269.373562,206.867041,258.483125,182.392997,-6.383389,0.129194,6.246317
0.020000,273.016700,206.741220,262.128435,182.265478,-6.375978,0.370568,6.250965
0.020000,276.653588,206.632050,265.766961,181.926319,-16.957953,-529.098787,6.255346
0.020000,280.275472,206.538712,269.390048,181.154353,-38.598271,-1082.015881,6.259453
0.020000,283.873426,206.460269,272.988857,179.940447,-60.695330,-1104.852950,6.263279
0.020000,287.438558,206.395681,276.554574,178.285839,-82.730411,-1101.754064,6.266821
0.020000,290.962012,206.343828,280.078409,176.191749,-104.704452,-1098.702013,6.270079
0.020000,294.434963,206.303539,283.551595,173.659281,-126.623412,-1095.948009,6.273053
0.020000,297.848624,206.273612,286.965387,170.689592,-148.484468,-1093.052824,6.275747
0.020000,301.194233,206.252834,290.311060,167.283675,-170.295856,-1090.569365,6.278167
0.020000,304.463059,206.240006,293.579911,163.442560,-192.055725,-1087.993468,6.280321
0.020000,307.646396,206.233960,296.763254,159.167147,-213.770675,-1085.747495,6.282218
0.020000,310.739770,206.233575,299.856628,154.668684,-224.923116,-557.622078,0.000687
0.020000,313.743125,206.237827,302.859986,150.167910,-225.038738,-5.781080,0.002115
0.020000,316.656611,206.245803,305.773483,145.674854,-224.652804,19.296679,0.003332
0.020000,319.480375,206.256690,308.597268,141.189240,-224.280664,18.607042,0.004353
0.020000,322.214560,206.269775,311.331484,136.710817,-223.921178,17.974255,0.005194
0.020000,324.859307,206.284432,313.976272,132.239366,-223.572543,17.431795,0.005867
0.020000,327.414751,206.300119,316.531764,127.774619,-223.237321,16.761084,0.006388
0.020000,329.881025,206.316369,318.998091,123.316367,-222.912608,16.235647,0.006770
0.020000,332.258255,206.332787,321.375379,118.864358,-222.600460,15.607391,0.007025
0.020000,334.546565,206.349042,323.663746,114.418366,-222.299604,15.042785,0.007165
0.020000,336.746071,206.364861,325.863309,109.978161,-222.010243,14.468049,0.007203
0.020000,338.856887,206.380024,327.974179,105.543517,-221.732221,13.901101,0.007150
0.020000,340.879120,206.394361,329.996464,101.114207,-221.465510,13.335553,0.007016
0.020000,342.812874,206.407745,331.930264,96.690006,-221.210041,12.773478,0.006813
0.020000,344.658247,206.420086,333.775678,92.270694,-220.965603,12.221906,0.006551
0.020000,346.415332,206.431331,335.532798,87.856044,-220.732489,11.655673,0.006238
0.020000,348.084218,206.441454,337.201715,83.445841,-220.510126,11.118168,0.005884
0.020000,349.664989,206.450458,338.782512,79.039855,-220.299296,10.541477,0.005499
0.020000,351.157726,206.458366,340.275270,74.637880,-220.098793,10.025140,0.005089
0.020000,352.562503,206.465219,341.680063,70.239677,-219.910126,9.433385,0.004662
0.020000,353.879391,206.471077,342.996964,65.845049,-219.731426,8.935000,0.004227
0.020000,355.108456,206.476006,344.226039,61.453746,-219.565119,8.315334,0.003790
0.020000,356.249760,206.480087,345.367351,57.065568,-219.408899,7.811022,0.003356
0.020000,357.303361,206.483402,346.420957,52.680292,-219.263821,7.253901,0.002933
0.020000,358.269311,206.486040,347.386911,48.297706,-219.129289,6.726578,0.002526
0.020000,359.147660,206.488091,348.265262,43.917554,-219.007580,6.085466,0.002140
0.020000,359.938451,206.489641,349.056055,39.539663,-218.894576,5.650196,0.001778
0.020000,360.641726,206.490775,349.759330,35.163769,-218.794687,4.994426,0.001446
0.020000,361.257519,206.491574,350.375124,30.789678,-218.704558,4.506453,0.001148
0.020000,361.785862,206.492112,350.903467,26.417159,-218.625925,3.931640,0.000885
0.020000,362.226781,206.492453,351.344387,22.045978,-218.559073,3.342646,0.000662
0.020000,362.584466,206.492657,351.702071,17.884220,-208.087876,523.559849,0.000478
0.020000,362.867465,206.492771,351.985071,14.149976,-186.712238,1068.781890,0.000331
0.020000,363.084528,206.492831,352.202134,10.853150,-164.841274,1093.548197,0.000217
0.020000,363.244398,206.492859,352.362004,7.993504,-142.982292,1092.949085,0.000132
0.020000,363.355816,206.492870,352.473421,5.570868,-121.131811,1092.524046,0.000073
0.020000,363.427518,206.492874,352.545124,3.585137,-99.286537,1092.263716,0.000034
0.020000,363.468243,206.492875,352.585848,2.036232,-77.445259,1092.063872,0.000013
0.020000,363.486725,206.492875,352.604331,0.924113,-55.605960,1091.964950,0.000003
0.020000,363.491700,206.492875,352.609306,0.248749,-33.768226,1091.886717,0.000000
0.020000,363.491903,206.492875,352.609508,0.010126,-11.931115,1091.855546,0.000000
0.020000,363.491903,206.492875,352.609508,0.000000,-0.506312,571.240158,0.000000
