dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.642939,35.995576,0.004390,0.439024,21.951220,1097.560976,6.282861
0.020000,10.642516,35.995576,0.004814,0.021173,-20.892557,-2142.188842,6.282904
0.020000,10.641563,35.995576,0.005767,0.047662,1.324429,1110.849312,6.283002
0.020000,10.639867,35.995577,0.007463,0.084807,1.857281,26.642585,6.283176
0.020000,10.743257,35.995590,0.110853,5.169511,254.235200,12618.895981,0.000263
0.020000,10.897474,35.995661,0.265071,7.710862,127.067545,-6358.382737,0.000656
0.020000,11.107367,35.995855,0.474963,10.494643,139.189018,606.073607,0.001192
0.020000,11.381482,35.996278,0.749079,13.705766,160.556147,1068.356485,0.001896
0.020000,11.728361,35.997091,1.095959,17.344021,181.912753,1067.830280,0.002791
0.020000,12.156535,35.998524,1.524136,21.408823,203.240138,1066.369258,0.003904
0.020000,12.670236,36.000875,2.037842,25.685303,213.823991,529.192645,0.005250
0.020000,13.269402,36.004494,2.637019,29.958867,213.678197,-7.289699,0.006835
0.020000,13.953965,36.009799,3.321602,34.229173,213.515277,-8.145993,0.008666
0.020000,14.723838,36.017272,4.091512,38.495455,213.314087,-10.059498,0.010752
0.020000,15.578927,36.027469,4.946661,42.757483,213.101406,-10.634074,0.013101
0.020000,16.519117,36.041016,5.886948,47.014360,212.843870,-12.876800,0.015723
0.020000,17.544282,36.058622,6.912265,51.265850,212.574483,-13.469329,0.018630
0.020000,18.654279,36.081077,8.022489,55.511195,212.267242,-15.362032,0.021834
0.020000,19.848948,36.109258,9.217491,59.750080,211.944294,-16.147448,0.025348
0.020000,21.128106,36.144139,10.497124,63.981661,211.579007,-18.264317,0.029188
0.020000,22.491549,36.186789,11.861234,68.205478,211.190853,-19.407701,0.033369
0.020000,23.939045,36.238386,13.309649,72.420766,210.764433,-21.320992,0.037910
0.020000,25.470337,36.300220,14.842189,76.626993,210.311320,-22.655674,0.042827
0.020000,27.085136,36.373702,16.458659,80.823495,209.825098,-24.311079,0.048142
0.020000,28.783116,36.460368,18.158850,85.009551,209.302810,-26.114432,0.053876
0.020000,30.563916,36.561894,19.942542,89.184594,208.752152,-27.532867,0.060051
0.020000,32.427125,36.680098,21.809496,93.347696,208.155105,-29.852388,0.066692
0.020000,34.372282,36.816953,23.759462,97.498297,207.530059,-31.252301,0.073825
0.020000,36.398872,36.974598,25.792173,101.635589,206.864573,-33.274274,0.081476
0.020000,38.506312,37.155341,27.907350,105.758856,206.163361,-35.060599,0.089675
0.020000,40.693954,37.361677,30.104701,109.867525,205.433467,-36.494690,0.098451
0.020000,42.961059,37.596292,32.383914,113.960648,204.656161,-38.865334,0.107837
0.020000,45.306804,37.862078,34.744668,118.037720,203.853590,-40.128549,0.117865
0.020000,47.730260,38.162140,37.186629,122.098043,203.016122,-41.873357,0.128569
0.020000,50.230382,38.499804,39.709451,126.141102,202.152955,-43.158383,0.139986
0.020000,52.805999,38.878632,42.312778,130.166348,201.262337,-44.530907,0.152150
0.020000,55.455797,39.302424,44.996252,134.173671,200.366143,-44.809670,0.165101
0.020000,58.178299,39.775228,47.759503,138.162567,199.444794,-46.067454,0.178874
0.020000,60.971855,40.301342,50.602169,142.133328,198.538029,-45.338240,0.193507
0.020000,63.834621,40.885322,53.523892,146.086118,197.639515,-44.925724,0.209037
0.020000,66.764541,41.531978,56.524324,150.021609,196.774552,-43.248120,0.225500
0.020000,69.755291,42.245369,59.598981,153.732845,185.561789,-560.638196,0.242904
0.020000,72.796392,43.028441,62.739283,157.015102,164.112856,-1072.446608,0.261230
0.020000,75.877334,43.883745,65.936742,159.872974,142.893581,-1060.963785,0.280447
0.020000,78.987607,44.813367,69.182970,162.311393,121.920950,-1048.631513,0.300516
0.020000,82.116745,45.818840,72.469684,164.335669,101.213801,-1035.357461,0.321385
0.020000,85.254370,46.901079,75.788709,165.951275,80.780323,-1021.673918,0.342991
0.020000,88.390238,48.060304,79.131981,167.163609,60.616702,-1008.181019,0.365263
