dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.636614,16.495577,0.004390,0.439024,21.951220,1097.560976,6.282861
0.020000,10.637038,16.495577,0.004814,0.021173,-20.892557,-2142.188842,6.282904
0.020000,10.637991,16.495577,0.005767,0.047662,1.324429,1110.849312,6.283002
0.020000,10.639687,16.495577,0.007463,0.084807,1.857281,26.642585,6.283176
0.020000,10.748386,16.495591,0.116162,5.434934,267.506321,13282.452008,0.000263
0.020000,10.910264,16.495665,0.278040,8.093931,132.949845,-6727.823800,0.000656
0.020000,11.130618,16.495869,0.498394,11.017692,146.188072,661.911360,0.001192
0.020000,11.418454,16.496313,0.786230,14.391787,168.704745,1125.833672,0.001896
0.020000,11.782791,16.497167,1.150568,18.216918,191.256523,1127.588892,0.002791
0.020000,12.232662,16.498673,1.600442,22.493660,213.837122,1129.029916,0.003904
0.020000,12.772608,16.501143,2.140394,26.997611,225.197556,568.021732,0.005250
0.020000,13.402685,16.504950,2.770482,31.504421,225.340478,7.146098,0.006835
0.020000,14.122959,16.510531,3.490777,36.014755,225.516719,8.812033,0.008666
0.020000,14.933497,16.518400,4.301354,40.528854,225.704945,9.411326,0.010752
0.020000,15.834384,16.529142,5.202305,45.047542,225.934379,11.471704,0.013101
0.020000,16.825701,16.543426,6.193724,49.570963,226.171063,11.834176,0.015723
0.020000,17.907541,16.562006,7.275724,54.099984,226.451068,14.000252,0.018630
0.020000,19.080000,16.585725,8.448423,58.634953,226.748420,14.867593,0.021834
0.020000,20.343183,16.615523,9.711957,63.176714,227.088051,16.981550,0.025348
0.020000,21.697191,16.652445,11.066469,67.725584,227.443497,17.772300,0.029188
0.020000,23.142131,16.697645,12.512116,72.282325,227.837087,19.679504,0.033369
0.020000,24.678103,16.752397,14.049064,76.847412,228.254350,20.863162,0.037910
0.020000,26.305209,16.818101,15.677496,81.421601,228.709415,22.753234,0.042827
0.020000,28.023542,16.896294,17.397607,86.005548,229.197364,24.397474,0.048142
0.020000,29.833184,16.988661,19.209605,90.599885,229.716867,25.975128,0.053876
0.020000,31.734206,17.097043,21.113713,95.205442,230.277833,28.048323,0.060051
0.020000,33.726654,17.223448,23.110167,99.822692,230.862531,29.234879,0.066692
0.020000,35.810553,17.370067,25.199218,104.452528,231.491756,31.461256,0.073825
0.020000,37.985893,17.539286,27.381129,109.095586,232.152942,33.059279,0.081476
0.020000,40.252624,17.733693,29.656182,113.752611,232.851212,34.913502,0.089675
0.020000,42.610648,17.956103,32.024671,118.424479,233.593427,37.110750,0.098451
0.020000,45.059800,18.209562,34.486904,123.111631,234.357575,38.207411,0.107837
0.020000,47.599845,18.497369,37.043202,127.814916,235.164270,40.334737,0.117865
0.020000,50.230455,18.823085,39.693900,132.534879,235.998131,41.693076,0.128569
0.020000,52.951194,19.190553,42.439342,137.272117,236.861913,43.189101,0.139986
0.020000,55.761497,19.603907,45.279882,142.026993,237.743820,44.095326,0.152150
0.020000,58.660653,20.067589,48.215884,146.800085,238.654580,45.538023,0.165101
0.020000,61.647765,20.586356,51.247708,151.591201,239.555798,45.060880,0.178874
0.020000,64.721735,21.165293,54.375720,156.400589,240.469395,45.679883,0.193507
0.020000,67.881222,21.809814,57.600276,161.227823,241.361713,44.615884,0.209037
0.020000,71.124610,22.525668,60.921724,166.072381,242.227895,43.309073,0.225500
0.020000,74.445479,23.317820,64.335765,170.702055,231.483702,-537.209641,0.242904
0.020000,77.832638,24.190017,67.833418,174.882641,209.029291,-1122.720533,0.261230
0.020000,81.274652,25.145577,71.405610,178.609601,186.348009,-1134.064124,0.280447
0.020000,84.759862,26.187281,75.043168,181.877919,163.415903,-1146.605263,0.300516
0.020000,88.276419,27.317261,78.736815,184.682351,140.221620,-1159.714192,0.321385
0.020000,91.812334,28.536899,82.477164,187.017465,116.755693,-1173.296320,0.342991
0.020000,95.355536,29.846721,86.254718,188.877704,93.011952,-1187.187065,0.365263
0.020000,98.893954,31.246306,90.059878,190.257987,69.014116,-1199.891793,0.388114
0.020000,102.415593,32.734207,93.882939,191.153023,44.751822,-1213.114700,0.411452
0.020000,105.908646,34.307896,97.714115,191.558840,20.290865,-1223.047852,0.435171
0.020000,109.365778,35.965789,101.548221,191.705304,7.323199,-648.383306,0.459192
0.020000,112.783996,37.707753,105.384712,191.824518,5.960665,-68.126683,0.483457
0.020000,116.160354,39.533327,109.223007,191.914743,4.511268,-72.469862,0.507907
0.020000,119.492001,41.441732,113.062523,191.975794,3.052560,-72.935413,0.532483
0.020000,122.776206,43.431874,116.902661,192.006938,1.557166,-74.769701,0.557123
0.020000,126.010392,45.502359,120.742827,192.008283,0.067275,-74.494532,0.581765
0.020000,129.192159,47.651506,124.582420,191.979659,-1.431220,-74.924735,0.606349
0.020000,132.319334,49.877392,128.420882,191.923107,-2.827587,-69.818383,0.630816
0.020000,135.389950,52.177847,132.257648,191.838285,-4.241090,-70.675105,0.655109
0.020000,138.402305,54.550516,136.092207,191.727943,-5.517085,-63.799786,0.679176
0.020000,141.127690,56.799309,139.625590,176.669150,-752.939666,-37371.129027,0.695929
0.020000,143.740528,58.930764,142.997536,168.597314,-403.591808,17467.392903,0.672546
0.020000,146.399561,60.997319,146.365192,168.382783,-10.726559,19643.262427,0.648724
0.020000,149.104370,62.997116,149.728997,168.190258,-9.626223,55.016833,0.624509
0.020000,151.854418,64.928432,153.089464,168.023378,-8.344031,64.109592,0.599950
0.020000,154.649018,66.789673,156.447143,167.883922,-6.972793,68.561905,0.575105
0.020000,157.487362,68.579423,159.802646,167.775160,-5.438114,76.733936,0.550037
0.020000,160.368508,70.296443,163.156623,167.698867,-3.814646,81.173407,0.524814
0.020000,163.291406,71.939705,166.509778,167.657708,-2.057935,87.835530,0.499506
0.020000,166.254883,73.508395,169.862833,167.652767,-0.247027,90.545406,0.474188
0.020000,169.257661,75.001928,173.216536,167.685132,1.618230,93.262831,0.448936
0.020000,172.298384,76.419966,176.571655,167.755994,3.543076,96.242296,0.423829
0.020000,175.375576,77.762397,179.928921,167.863258,5.363220,91.007210,0.398942
0.020000,178.487724,79.029373,183.289083,168.008124,7.243299,94.003958,0.374352
0.020000,181.633241,80.221283,186.652850,168.188336,9.010582,88.364164,0.350132
0.020000,184.810496,81.338759,190.020891,168.402068,10.686630,83.802387,0.326349
0.020000,188.017836,82.382671,193.393839,168.647410,12.267079,79.022437,0.303070
0.020000,191.253593,83.354112,196.772274,168.921741,13.716554,72.473777,0.280353
0.020000,194.516102,84.254388,200.156719,169.222232,15.024554,65.400000,0.258252
0.020000,197.803715,85.085008,203.547637,169.545916,16.184206,57.982601,0.236814
